t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
16.2000,-75.7658,52.3623,-1.5954,1.3180,0.0543,0.0716,0,1,0.0001
16.2046,-75.7661,52.3489,-1.5950,1.3793,0.0290,0.0400,0,1,0.0040
16.2079,-75.7661,52.3489,-1.5950,1.3793,0.0290,0.0400,0,1,0.0075
16.2120,-75.7661,52.3489,-1.5950,1.3793,0.0290,0.0400,0,1,0.0113
16.2160,-75.7664,52.3348,-1.5948,1.4353,0.0168,0.0242,0,1,0.0155
16.2211,-75.7664,52.3348,-1.5948,1.4353,0.0168,0.0242,0,1,0.0217
16.2248,-75.7667,52.3202,-1.5945,1.4895,0.0421,0.0627,0,1,0.0243
16.2281,-75.7667,52.3202,-1.5945,1.4895,0.0421,0.0627,0,1,0.0275
16.2320,-75.7667,52.3202,-1.5945,1.4895,0.0421,0.0627,0,1,0.0313
16.2360,-75.7670,52.3050,-1.5938,1.5403,0.1141,0.1757,0,1,0.0353
16.2399,-75.7670,52.3050,-1.5938,1.5403,0.1141,0.1757,0,1,0.0392
16.2446,-75.7672,52.2894,-1.5921,1.5890,0.2146,0.3410,0,1,0.0440
16.2480,-75.7672,52.2894,-1.5921,1.5890,0.2146,0.3410,0,1,0.0473
16.2525,-75.7672,52.2894,-1.5921,1.5890,0.2146,0.3410,0,1,0.0522
16.2559,-75.7672,52.2733,-1.5896,1.6341,0.2687,0.4391,0,1,0.0553
16.2600,-75.7672,52.2733,-1.5896,1.6341,0.2687,0.4391,0,1,0.0595
16.2645,-75.7672,52.2567,-1.5868,1.6770,0.3112,0.5219,0,1,0.0638
16.2680,-75.7672,52.2567,-1.5868,1.6770,0.3112,0.5219,0,1,0.0672
16.2719,-75.7672,52.2567,-1.5868,1.6770,0.3112,0.5219,0,1,0.0712
16.2760,-75.7670,52.2397,-1.5835,1.7185,0.3336,0.5732,0,1,0.0754
16.2800,-75.7670,52.2397,-1.5835,1.7185,0.3336,0.5732,0,1,0.0793
16.2857,-75.7668,52.2223,-1.5801,1.7580,0.3580,0.6293,0,1,0.0853
16.2880,-75.7668,52.2223,-1.5801,1.7580,0.3580,0.6293,0,1,0.0874
16.2920,-75.7668,52.2223,-1.5801,1.7580,0.3580,0.6293,0,1,0.0914
16.2960,-75.7665,52.2046,-1.5764,1.7954,0.3699,0.6640,0,1,0.0953
