t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
5.5958e-05,-73.0992,48.3244,-0.761088,3.99309,-0.160411,-0.640536,NONE,999.9,0,0
0.00443863,-73.0992,48.3244,-0.761088,3.99309,-0.160411,-0.640536,NONE,999.9,0,0
0.00855045,-73.0703,48.2968,-0.762795,3.99342,-0.163761,-0.653968,NONE,999.9,0,0
0.0116916,-73.0703,48.2968,-0.762795,3.99342,-0.163761,-0.653968,NONE,999.9,0,0
0.0152184,-73.0703,48.2968,-0.762795,3.99342,-0.163761,-0.653968,NONE,999.9,0,0
0.0189022,-73.0415,48.2691,-0.764381,3.99373,-0.170012,-0.678982,NONE,999.9,0,0
0.0236221,-73.0415,48.2691,-0.764381,3.99373,-0.170012,-0.678982,NONE,999.9,0,0
0.0280423,-73.0127,48.2414,-0.766168,3.99403,-0.170338,-0.680337,NONE,999.9,0,0
0.0309564,-73.0127,48.2414,-0.766168,3.99403,-0.170338,-0.680337,NONE,999.9,0,0
0.0351329,-73.0127,48.2414,-0.766168,3.99403,-0.170338,-0.680337,NONE,999.9,0,0
0.0406503,-72.984,48.2137,-0.767808,3.99432,-0.174369,-0.696483,NONE,999.9,0,0
0.044059,-72.984,48.2137,-0.767808,3.99432,-0.174369,-0.696483,NONE,999.9,0,0
0.0474676,-72.9552,48.186,-0.76963,3.99459,-0.173081,-0.691387,NONE,999.9,0,0
0.0512174,-72.9552,48.186,-0.76963,3.99459,-0.173081,-0.691387,NONE,999.9,0,0
0.0553516,-72.9552,48.186,-0.76963,3.99459,-0.173081,-0.691387,NONE,999.9,0,0
0.0604921,-72.9265,48.1582,-0.771291,3.99484,-0.175953,-0.702905,NONE,999.9,0,0
0.0630556,-72.9265,48.1582,-0.771291,3.99484,-0.175953,-0.702905,NONE,999.9,0,0
0.0679503,-72.8979,48.1304,-0.773125,3.99509,-0.173848,-0.694539,NONE,999.9,0,0
0.0726486,-72.8979,48.1304,-0.773125,3.99509,-0.173848,-0.694539,NONE,999.9,0,0
0.0766572,-72.8979,48.1304,-0.773125,3.99509,-0.173848,-0.694539,NONE,999.9,0,0
0.0812454,-72.8692,48.1025,-0.77479,3.99532,-0.176155,-0.703797,NONE,999.9,0,0
0.083299,-72.8692,48.1025,-0.77479,3.99532,-0.176155,-0.703797,NONE,999.9,0,0
0.0884541,-72.8406,48.0746,-0.776624,3.99554,-0.173671,-0.693911,NONE,999.9,0,0
0.0916305,-72.8406,48.0746,-0.776624,3.99554,-0.173671,-0.693911,NONE,999.9,0,0
0.0954836,-72.8406,48.0746,-0.776624,3.99554,-0.173671,-0.693911,NONE,999.9,0,0
0.0993718,-72.8121,48.0466,-0.778287,3.99576,-0.175735,-0.702196,NONE,999.9,0,0
0.104106,-72.8121,48.0466,-0.778287,3.99576,-0.175735,-0.702196,NONE,999.9,0,0
0.108441,-72.7836,48.0187,-0.780116,3.99596,-0.173106,-0.691726,NONE,999.9,0,0
0.111505,-72.7836,48.0187,-0.780116,3.99596,-0.173106,-0.691726,NONE,999.9,0,0
0.115015,-72.7836,48.0187,-0.780116,3.99596,-0.173106,-0.691726,NONE,999.9,0,0
0.11914,-72.7551,47.9906,-0.781772,3.99615,-0.175095,-0.699706,NONE,999.9,0,0
0.123219,-72.7551,47.9906,-0.781772,3.99615,-0.175095,-0.699706,NONE,999.9,0,0
0.1304,-72.7267,47.9625,-0.783594,3.99633,-0.172439,-0.689123,NONE,999.9,0,0
0.134462,-72.7267,47.9625,-0.783594,3.99633,-0.172439,-0.689123,NONE,999.9,0,0
0.140006,-72.6983,47.9344,-0.785244,3.99651,-0.174433,-0.697124,NONE,999.9,0,0
