t,x,y,yaw,speed,yaw_rate,a_lat,collision
0.0000,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0033,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0071,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0113,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0153,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0192,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0233,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0273,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0313,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0354,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0393,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0434,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0473,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0512,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0552,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0593,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0633,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0673,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0712,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0751,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0793,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0835,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0874,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0913,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0952,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0993,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1035,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1074,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1114,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1152,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1193,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1234,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1273,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1313,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1354,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1394,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1436,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1472,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1513,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1553,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1595,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1634,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1675,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1713,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1753,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1793,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1836,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1873,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1916,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1954,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1994,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2034,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2072,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2113,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2154,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2195,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2235,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2273,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2313,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2352,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2393,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2433,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2475,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2514,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2554,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2593,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2634,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2673,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2713,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2752,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2793,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2835,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2872,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2914,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2952,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.2993,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3033,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3073,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3112,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3154,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3193,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3234,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3276,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3312,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3354,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3393,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3433,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3475,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3515,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3555,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3591,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3633,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3676,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3712,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3754,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3794,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3834,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3873,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3914,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3955,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.3992,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4033,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4072,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4113,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4154,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4196,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4235,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4274,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4313,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4351,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4392,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4434,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4472,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4514,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4554,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4594,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4632,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4673,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4713,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4753,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4793,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4834,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4871,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4912,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4953,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.4993,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5034,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5071,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5111,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5154,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5192,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5233,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5273,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5313,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5352,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5393,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5433,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5474,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5513,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5553,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5593,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5633,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5673,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5712,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5752,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5793,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5834,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5873,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5912,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5953,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.5993,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.6032,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
