t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
6.7725,-75.7538,52.8964,-1.4876,0.1280,0.0000,0.0000,0,1,0.0001
6.7759,-75.7538,52.8964,-1.4876,0.1280,0.0000,0.0000,0,1,0.0036
6.7797,-75.7538,52.8964,-1.4876,0.1280,0.0000,0.0000,0,1,0.0073
6.7837,-75.7537,52.8947,-1.4875,0.2231,0.0216,0.0048,0,1,0.0114
6.7878,-75.7537,52.8947,-1.4875,0.2231,0.0216,0.0048,0,1,0.0154
6.7924,-75.7534,52.8920,-1.4874,0.3182,0.0000,0.0000,0,1,0.0199
6.7957,-75.7534,52.8920,-1.4874,0.3182,0.0000,0.0000,0,1,0.0232
6.7997,-75.7534,52.8920,-1.4874,0.3182,0.0000,0.0000,0,1,0.0271
6.8038,-75.7531,52.8883,-1.4872,0.4133,0.0401,0.0166,0,1,0.0315
6.8078,-75.7531,52.8883,-1.4872,0.4133,0.0401,0.0166,0,1,0.0355
6.8128,-75.7528,52.8837,-1.4870,0.5084,0.0082,0.0042,0,1,0.0406
6.8159,-75.7528,52.8837,-1.4870,0.5084,0.0082,0.0042,0,1,0.0435
6.8199,-75.7528,52.8837,-1.4870,0.5084,0.0082,0.0042,0,1,0.0476
6.8238,-75.7523,52.8782,-1.4869,0.6035,0.0273,0.0165,0,1,0.0513
6.8279,-75.7523,52.8782,-1.4869,0.6035,0.0273,0.0165,0,1,0.0554
6.8326,-75.7517,52.8717,-1.4866,0.6986,0.0221,0.0154,0,1,0.0601
6.8358,-75.7517,52.8717,-1.4866,0.6986,0.0221,0.0154,0,1,0.0635
6.8397,-75.7517,52.8717,-1.4866,0.6986,0.0221,0.0154,0,1,0.0675
6.8438,-75.7510,52.8643,-1.4864,0.7937,0.0347,0.0275,0,1,0.0719
6.8478,-75.7510,52.8643,-1.4864,0.7937,0.0347,0.0275,0,1,0.0755
6.8526,-75.7503,52.8559,-1.4860,0.8888,0.0323,0.0287,0,1,0.0805
6.8559,-75.7503,52.8559,-1.4860,0.8888,0.0323,0.0287,0,1,0.0833
6.8597,-75.7503,52.8559,-1.4860,0.8888,0.0323,0.0287,0,1,0.0872
6.8639,-75.7494,52.8466,-1.4857,0.9839,0.0426,0.0420,0,1,0.0914
6.8677,-75.7494,52.8466,-1.4857,0.9839,0.0426,0.0420,0,1,0.0953
6.8728,-75.7485,52.8363,-1.4852,1.0790,0.0416,0.0449,0,1,0.1005
6.8759,-75.7485,52.8363,-1.4852,1.0790,0.0416,0.0449,0,1,0.1036
6.8799,-75.7485,52.8363,-1.4852,1.0790,0.0416,0.0449,0,1,0.1075
6.8838,-75.7474,52.8251,-1.4848,1.1741,0.0501,0.0589,0,1,0.1115
6.8879,-75.7474,52.8251,-1.4848,1.1741,0.0501,0.0589,0,1,0.1155
6.8925,-75.7463,52.8129,-1.4841,1.2692,0.0976,0.1239,0,1,0.1201
6.8957,-75.7463,52.8129,-1.4841,1.2692,0.0976,0.1239,0,1,0.1232
6.8997,-75.7463,52.8129,-1.4841,1.2692,0.0976,0.1239,0,1,0.1273
6.9037,-75.7449,52.7998,-1.4827,1.3643,0.1699,0.2318,0,1,0.1313
6.9078,-75.7449,52.7998,-1.4827,1.3643,0.1699,0.2318,0,1,0.1354
6.9126,-75.7434,52.7858,-1.4808,1.4594,0.2122,0.3097,0,1,0.1403
6.9157,-75.7434,52.7858,-1.4808,1.4594,0.2122,0.3097,0,1,0.1433
6.9199,-75.7434,52.7858,-1.4808,1.4594,0.2122,0.3097,0,1,0.1475
6.9239,-75.7418,52.7708,-1.4785,1.5545,0.2505,0.3894,0,1,0.1515
6.9277,-75.7418,52.7708,-1.4785,1.5545,0.2505,0.3894,0,1,0.1553
6.9325,-75.7399,52.7549,-1.4758,1.6496,0.2764,0.4559,0,1,0.1601
6.9357,-75.7399,52.7549,-1.4758,1.6496,0.2764,0.4559,0,1,0.1635
6.9398,-75.7399,52.7549,-1.4758,1.6496,0.2764,0.4559,0,1,0.1675
6.9439,-75.7378,52.7381,-1.4730,1.7447,0.3041,0.5306,0,1,0.1715
6.9477,-75.7378,52.7381,-1.4730,1.7447,0.3041,0.5306,0,1,0.1753
6.9525,-75.7356,52.7203,-1.4698,1.8398,0.3235,0.5951,0,1,0.1803
6.9557,-75.7356,52.7203,-1.4698,1.8398,0.3235,0.5951,0,1,0.1833
6.9598,-75.7356,52.7203,-1.4698,1.8398,0.3235,0.5951,0,1,0.1872
6.9638,-75.7332,52.7016,-1.4665,1.9349,0.3457,0.6689,0,1,0.1912
6.9677,-75.7332,52.7016,-1.4665,1.9349,0.3457,0.6689,0,1,0.1954
6.9728,-75.7306,52.6819,-1.4629,2.0300,0.3612,0.7332,0,1,0.2005
6.9758,-75.7306,52.6819,-1.4629,2.0300,0.3612,0.7332,0,1,0.2034
6.9798,-75.7306,52.6819,-1.4629,2.0300,0.3612,0.7332,0,1,0.2073
6.9839,-75.7279,52.6613,-1.4592,2.1251,0.3797,0.8070,0,1,0.2114
6.9878,-75.7279,52.6613,-1.4592,2.1251,0.3797,0.8070,0,1,0.2155
6.9926,-75.7249,52.6398,-1.4553,2.2202,0.3925,0.8715,0,1,0.2200
6.9957,-75.7249,52.6398,-1.4553,2.2202,0.3925,0.8715,0,1,0.2234
6.9998,-75.7249,52.6398,-1.4553,2.2202,0.3925,0.8715,0,1,0.2275
7.0037,-75.7217,52.6173,-1.4514,2.3153,0.4082,0.9452,0,1,0.2314
7.0078,-75.7217,52.6173,-1.4514,2.3153,0.4082,0.9452,0,1,0.2354
7.0125,-75.7184,52.5939,-1.4472,2.4104,0.4189,1.0096,0,1,0.2400
7.0158,-75.7184,52.5939,-1.4472,2.4104,0.4189,1.0096,0,1,0.2434
7.0198,-75.7184,52.5939,-1.4472,2.4104,0.4189,1.0096,0,1,0.2479
7.0237,-75.7148,52.5696,-1.4430,2.5055,0.4323,1.0832,0,1,0.2513
7.0277,-75.7148,52.5696,-1.4430,2.5055,0.4323,1.0832,0,1,0.2552
7.0328,-75.7110,52.5444,-1.4385,2.5985,0.4421,1.1488,0,1,0.2605
7.0358,-75.7110,52.5444,-1.4385,2.5985,0.4421,1.1488,0,1,0.2635
7.0397,-75.7110,52.5444,-1.4385,2.5985,0.4421,1.1488,0,1,0.2674
7.0438,-75.7069,52.5182,-1.4341,2.6936,0.4531,1.2205,0,1,0.2713
7.0477,-75.7069,52.5182,-1.4341,2.6936,0.4531,1.2205,0,1,0.2752
7.0526,-75.7026,52.4912,-1.4295,2.7887,0.4600,1.2829,0,1,0.2804
7.0556,-75.7026,52.4912,-1.4295,2.7887,0.4600,1.2829,0,1,0.2831
7.0599,-75.7026,52.4912,-1.4295,2.7887,0.4600,1.2829,0,1,0.2874
7.0637,-75.6981,52.4632,-1.4249,2.8838,0.4696,1.3541,0,1,0.2916
7.0677,-75.6981,52.4632,-1.4249,2.8838,0.4696,1.3541,0,1,0.2954
7.0726,-75.6933,52.4343,-1.4201,2.9789,0.4752,1.4156,0,1,0.3002
7.0758,-75.6933,52.4343,-1.4201,2.9789,0.4752,1.4156,0,1,0.3034
7.0798,-75.6933,52.4343,-1.4201,2.9789,0.4752,1.4156,0,1,0.3073
7.0837,-75.6883,52.4044,-1.4154,3.0740,0.4832,1.4855,0,1,0.3113
7.0878,-75.6883,52.4044,-1.4154,3.0740,0.4832,1.4855,0,1,0.3155
7.0925,-75.6830,52.3737,-1.4105,3.1691,0.4876,1.5453,0,1,0.3201
7.0957,-75.6830,52.3737,-1.4105,3.1691,0.4876,1.5453,0,1,0.3233
7.0998,-75.6830,52.3737,-1.4105,3.1691,0.4876,1.5453,0,1,0.3274
7.1038,-75.6774,52.3420,-1.4056,3.2642,0.4943,1.6134,0,1,0.3315
7.1077,-75.6774,52.3420,-1.4056,3.2642,0.4943,1.6134,0,1,0.3353
7.1125,-75.6715,52.3094,-1.4006,3.3593,0.4974,1.6711,0,1,0.3400
7.1157,-75.6715,52.3094,-1.4006,3.3593,0.4974,1.6711,0,1,0.3431
7.1198,-75.6715,52.3094,-1.4006,3.3593,0.4974,1.6711,0,1,0.3477
7.1235,-75.6653,52.2759,-1.3957,3.4544,0.5028,1.7368,0,1,0.3511
