t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
6.9987,-75.7538,52.8966,-1.4876,0.1163,0.0000,0.0000,0,1,0.0001
7.0065,-75.7537,52.8950,-1.4875,0.2114,0.0205,0.0043,0,1,0.0069
7.0132,-75.7535,52.8924,-1.4871,0.3065,0.0595,0.0182,0,1,0.0135
7.0178,-75.7535,52.8924,-1.4871,0.3065,0.0595,0.0182,0,1,0.0181
7.0244,-75.7532,52.8889,-1.4862,0.3977,0.1160,0.0461,0,1,0.0247
7.0287,-75.7532,52.8889,-1.4862,0.3977,0.1160,0.0461,0,1,0.0287
7.0351,-75.7528,52.8845,-1.4847,0.4846,0.1889,0.0916,0,1,0.0356
7.0400,-75.7528,52.8845,-1.4847,0.4846,0.1889,0.0916,0,1,0.0403
7.0462,-75.7523,52.8792,-1.4827,0.5797,0.1034,0.0599,0,1,0.0467
7.0512,-75.7523,52.8792,-1.4827,0.5797,0.1034,0.0599,0,1,0.0539
7.0582,-75.7514,52.8730,-1.4809,0.6746,0.1903,0.1284,0,1,0.0585
7.0642,-75.7504,52.8659,-1.4786,0.7650,0.2665,0.2038,0,1,0.0644
7.0684,-75.7504,52.8659,-1.4786,0.7650,0.2665,0.2038,0,1,0.0685
7.0738,-75.7491,52.8579,-1.4755,0.8511,0.3547,0.3018,0,1,0.0746
7.0785,-75.7491,52.8579,-1.4755,0.8511,0.3547,0.3018,0,1,0.0790
7.0852,-75.7476,52.8491,-1.4716,0.9331,0.4064,0.3792,0,1,0.0862
7.0910,-75.7476,52.8491,-1.4716,0.9331,0.4064,0.3792,0,1,0.0910
7.0968,-75.7459,52.8395,-1.4673,1.0111,0.4613,0.4665,0,1,0.0969
7.1059,-75.7441,52.8292,-1.4624,1.0855,0.4979,0.5405,0,1,0.1073
7.1188,-75.7420,52.8182,-1.4573,1.1563,0.5419,0.6266,0,1,0.1221
7.1291,-75.7397,52.8065,-1.4517,1.2238,0.5718,0.6998,0,1,0.1300
7.1370,-75.7373,52.7942,-1.4458,1.2881,0.6097,0.7853,0,1,0.1378
7.1465,-75.7346,52.7813,-1.4395,1.3493,0.6354,0.8573,0,1,0.1469
7.1542,-75.7318,52.7678,-1.4331,1.4076,0.6690,0.9416,0,1,0.1577
7.1647,-75.7287,52.7538,-1.4262,1.4631,0.6915,1.0117,0,1,0.1656
7.1704,-75.7287,52.7538,-1.4262,1.4631,0.6915,1.0117,0,1,0.1718
7.1790,-75.7255,52.7392,-1.4192,1.5160,0.7219,1.0943,0,1,0.1799
7.1865,-75.7220,52.7242,-1.4118,1.5663,0.7419,1.1620,0,1,0.1875
7.1935,-75.7184,52.7087,-1.4043,1.6143,0.7696,1.2424,0,1,0.1937
7.1977,-75.7184,52.7087,-1.4043,1.6143,0.7696,1.2424,0,1,0.1981
7.2051,-75.7145,52.6927,-1.3965,1.6741,0.7827,1.3103,0,1,0.2064
7.2112,-75.7145,52.6927,-1.3965,1.6741,0.7827,1.3103,0,1,0.2118
7.2185,-75.7103,52.6762,-1.3886,1.7311,0.8079,1.3985,0,1,0.2200
7.2282,-75.7060,52.6592,-1.3804,1.7854,0.8269,1.4763,0,1,0.2290
7.2359,-75.7014,52.6417,-1.3723,1.8371,0.7873,1.4463,0,1,0.2363
7.2457,-75.6966,52.6237,-1.3645,1.8864,0.7772,1.4660,0,1,0.2467
7.2537,-75.6915,52.6053,-1.3567,1.9333,0.7717,1.4918,0,1,0.2541
7.2576,-75.6915,52.6053,-1.3567,1.9333,0.7717,1.4918,0,1,0.2595
7.2675,-75.6863,52.5864,-1.3490,1.9779,0.7799,1.5426,0,1,0.2684
7.2773,-75.6808,52.5672,-1.3411,2.0205,0.7847,1.5854,0,1,0.2782
7.2847,-75.6752,52.5476,-1.3333,2.0610,0.7986,1.6459,0,1,0.2855
7.2894,-75.6752,52.5476,-1.3333,2.0610,0.7986,1.6459,0,1,0.2899
7.2973,-75.6692,52.5277,-1.3252,2.0996,0.8066,1.6935,0,1,0.2989
7.3061,-75.6631,52.5074,-1.3171,2.1364,0.8221,1.7563,0,1,0.3073
7.3165,-75.6567,52.4868,-1.3088,2.1714,0.8309,1.8042,0,1,0.3177
7.3246,-75.6500,52.4660,-1.3005,2.2048,0.8466,1.8666,0,1,0.3259
7.3306,-75.6500,52.4660,-1.3005,2.2048,0.8466,1.8666,0,1,0.3322
7.3407,-75.6431,52.4449,-1.2919,2.2365,0.8553,1.9129,0,1,0.3417
7.3527,-75.6359,52.4235,-1.2833,2.2668,0.8706,1.9736,0,1,0.3541
7.3611,-75.6285,52.4020,-1.2745,2.2956,0.8789,2.0175,0,1,0.3619
7.3704,-75.6208,52.3801,-1.2658,2.3344,0.8845,2.0648,0,1,0.3713
7.3781,-75.6128,52.3580,-1.2568,2.3713,0.8887,2.1074,0,1,0.3787
7.3861,-75.6045,52.3356,-1.2482,2.4065,0.8269,1.9900,0,1,0.3864
7.3936,-75.5960,52.3129,-1.2402,2.4400,0.7958,1.9417,0,1,0.3943
7.3988,-75.5960,52.3129,-1.2402,2.4400,0.7958,1.9417,0,1,0.3997
7.4080,-75.5872,52.2900,-1.2323,2.4719,0.7738,1.9128,0,1,0.4094
7.4162,-75.5782,52.2668,-1.2246,2.5023,0.7677,1.9211,0,1,0.4171
7.4212,-75.5782,52.2668,-1.2246,2.5023,0.7677,1.9211,0,1,0.4218
7.4280,-75.5689,52.2434,-1.2169,2.5312,0.7617,1.9279,0,1,0.4291
7.4358,-75.5594,52.2198,-1.2093,2.5588,0.7657,1.9592,0,1,0.4365
7.4406,-75.5594,52.2198,-1.2093,2.5588,0.7657,1.9592,0,1,0.4414
7.4481,-75.5497,52.1960,-1.2016,2.5851,0.7660,1.9801,0,1,0.4489
7.4554,-75.5396,52.1720,-1.1940,2.6101,0.7739,2.0201,0,1,0.4562
7.4611,-75.5396,52.1720,-1.1940,2.6101,0.7739,2.0201,0,1,0.4617
7.4687,-75.5293,52.1479,-1.1862,2.6339,0.7767,2.0458,0,1,0.4695
7.4762,-75.5188,52.1237,-1.1784,2.6566,0.7861,2.0884,0,1,0.4770
7.4838,-75.5080,52.0993,-1.1705,2.6782,0.7897,2.1149,0,1,0.4846
7.4890,-75.5080,52.0993,-1.1705,2.6782,0.7897,2.1149,0,1,0.4898
7.4979,-75.4969,52.0748,-1.1626,2.6988,0.7994,2.1575,0,1,0.4990
7.5080,-75.4856,52.0502,-1.1545,2.7184,0.8031,2.1831,0,1,0.5090
7.5166,-75.4740,52.0255,-1.1465,2.7371,0.8127,2.2245,0,1,0.5172
7.5251,-75.4621,52.0007,-1.1383,2.7549,0.8162,2.2484,0,1,0.5257
7.5302,-75.4621,52.0007,-1.1383,2.7549,0.8162,2.2484,0,1,0.5317
7.5428,-75.4500,51.9758,-1.1302,2.7802,0.8172,2.2721,0,1,0.5436
7.5495,-75.4376,51.9508,-1.1219,2.8043,0.8162,2.2889,0,1,0.5497
7.5569,-75.4248,51.9257,-1.1141,2.8273,0.7422,2.0984,0,1,0.5579
7.5648,-75.4119,51.9004,-1.1070,2.8492,0.6983,1.9897,0,1,0.5658
7.5699,-75.4119,51.9004,-1.1070,2.8492,0.6983,1.9897,0,1,0.5703
7.5760,-75.3988,51.8751,-1.1001,2.8700,0.6654,1.9097,0,1,0.5768
7.5838,-75.3854,51.8496,-1.0936,2.8899,0.6494,1.8768,0,1,0.5844
7.5882,-75.3854,51.8496,-1.0936,2.8899,0.6494,1.8768,0,1,0.5884
7.5949,-75.3717,51.8240,-1.0871,2.9088,0.6354,1.8483,0,1,0.5958
7.6038,-75.3578,51.7983,-1.0809,2.9268,0.6323,1.8506,0,1,0.6046
7.6124,-75.3578,51.7983,-1.0809,2.9268,0.6323,1.8506,0,1,0.6129
7.6201,-75.3437,51.7726,-1.0745,2.9440,0.6269,1.8455,0,1,0.6206
7.6264,-75.3294,51.7468,-1.0683,2.9603,0.6295,1.8635,0,1,0.6269
7.6363,-75.3148,51.7209,-1.0619,2.9759,0.6279,1.8686,0,1,0.6373
7.6435,-75.3000,51.6950,-1.0557,2.9907,0.6330,1.8931,0,1,0.6443
7.6485,-75.3000,51.6950,-1.0557,2.9907,0.6330,1.8931,0,1,0.6495
7.6573,-75.2850,51.6691,-1.0493,3.0048,0.6330,1.9020,0,1,0.6575
7.6642,-75.2697,51.6431,-1.0430,3.0183,0.6390,1.9287,0,1,0.6651
7.6705,-75.2697,51.6431,-1.0430,3.0183,0.6390,1.9287,0,1,0.6706
