t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000120775,-75.7538,52.8966,-1.48757,0.116062,0,0,NONE,999.9,0,0
0.00412133,-75.7538,52.8966,-1.48757,0.116062,0,0,NONE,999.9,0,0
0.00925192,-75.7537,52.895,-1.48766,0.211162,-0.0204709,-0.00432266,NONE,999.9,0,0
0.0119119,-75.7537,52.895,-1.48766,0.211162,-0.0204709,-0.00432266,NONE,999.9,0,0
0.0160567,-75.7537,52.895,-1.48766,0.211162,-0.0204709,-0.00432266,NONE,999.9,0,0
0.0202087,-75.7535,52.8924,-1.48804,0.306262,-0.0594414,-0.0182046,NONE,999.9,0,0
0.0245788,-75.7535,52.8924,-1.48804,0.306262,-0.0594414,-0.0182046,NONE,999.9,0,0
0.0292563,-75.7532,52.8889,-1.48891,0.401362,-0.117049,-0.0469789,NONE,999.9,0,0
0.0319495,-75.7532,52.8889,-1.48891,0.401362,-0.117049,-0.0469789,NONE,999.9,0,0
0.0361913,-75.7532,52.8889,-1.48891,0.401362,-0.117049,-0.0469789,NONE,999.9,0,0
0.0398958,-75.7528,52.8844,-1.48999,0.496462,-0.0963567,-0.0478374,NONE,999.9,0,0
0.0438323,-75.7528,52.8844,-1.48999,0.496462,-0.0963567,-0.0478374,NONE,999.9,0,0
0.0496166,-75.7524,52.879,-1.49078,0.591562,-0.0422217,-0.0249767,NONE,999.9,0,0
0.0522795,-75.7524,52.879,-1.49078,0.591562,-0.0422217,-0.0249767,NONE,999.9,0,0
0.0564414,-75.7524,52.879,-1.49078,0.591562,-0.0422217,-0.0249767,NONE,999.9,0,0
0.0621618,-75.752,52.8726,-1.49122,0.686662,-0.0322769,-0.0221633,NONE,999.9,0,0
0.0639712,-75.752,52.8726,-1.49122,0.686662,-0.0322769,-0.0221633,NONE,999.9,0,0
0.0693887,-75.7515,52.8653,-1.4914,0.781009,0.00249883,0.00195161,NONE,999.9,0,0
0.0717986,-75.7515,52.8653,-1.4914,0.781009,0.00249883,0.00195161,NONE,999.9,0,0
0.076205,-75.7515,52.8653,-1.4914,0.781009,0.00249883,0.00195161,NONE,999.9,0,0
0.079854,-75.7508,52.857,-1.49126,0.870869,0.0112574,0.00980374,NONE,999.9,0,0
0.084241,-75.7508,52.857,-1.49126,0.870869,0.0112574,0.00980374,NONE,999.9,0,0
0.0899118,-75.7501,52.8479,-1.49112,0.956457,0.0288869,0.0276291,NONE,999.9,0,0
0.0922714,-75.7501,52.8479,-1.49112,0.956457,0.0288869,0.0276291,NONE,999.9,0,0
0.0961035,-75.7501,52.8479,-1.49112,0.956457,0.0288869,0.0276291,NONE,999.9,0,0
0.100267,-75.7492,52.838,-1.49076,1.03798,0.0310852,0.0322657,NONE,999.9,0,0
0.104566,-75.7492,52.838,-1.49076,1.03798,0.0310852,0.0322657,NONE,999.9,0,0
0.109016,-75.7483,52.8273,-1.49044,1.11562,0.0431864,0.0481795,NONE,999.9,0,0
0.111843,-75.7483,52.8273,-1.49044,1.11562,0.0431864,0.0481795,NONE,999.9,0,0
0.116149,-75.7483,52.8273,-1.49044,1.11562,0.0431864,0.0481795,NONE,999.9,0,0
0.120175,-75.7473,52.8158,-1.48995,1.18957,0.0432367,0.051433,NONE,999.9,0,0
0.124805,-75.7473,52.8158,-1.48995,1.18957,0.0432367,0.051433,NONE,999.9,0,0
0.128851,-75.7463,52.8036,-1.48953,1.26,0.0527832,0.0665069,NONE,999.9,0,0
0.131884,-75.7463,52.8036,-1.48953,1.26,0.0527832,0.0665069,NONE,999.9,0,0
0.136323,-75.7463,52.8036,-1.48953,1.26,0.0527832,0.0665069,NONE,999.9,0,0
0.139934,-75.7451,52.7907,-1.48894,1.32709,0.0518772,0.0688456,NONE,999.9,0,0
0.143956,-75.7451,52.7907,-1.48894,1.32709,0.0518772,0.0688456,NONE,999.9,0,0
0.149406,-75.7439,52.7772,-1.48845,1.39098,0.0600215,0.0834889,NONE,999.9,0,0
0.152159,-75.7439,52.7772,-1.48845,1.39098,0.0600215,0.0834889,NONE,999.9,0,0
0.156243,-75.7439,52.7772,-1.48845,1.39098,0.0600215,0.0834889,NONE,999.9,0,0
0.160313,-75.7427,52.7629,-1.4878,1.47178,0.0586102,0.0862614,NONE,999.9,0,0
0.164183,-75.7427,52.7629,-1.4878,1.47178,0.0586102,0.0862614,NONE,999.9,0,0
0.168792,-75.7413,52.7479,-1.48724,1.54874,0.0652352,0.101032,NONE,999.9,0,0
0.17176,-75.7413,52.7479,-1.48724,1.54874,0.0652352,0.101032,NONE,999.9,0,0
0.175838,-75.7413,52.7479,-1.48724,1.54874,0.0652352,0.101032,NONE,999.9,0,0
0.180377,-75.7399,52.7321,-1.48633,1.62203,0.121975,0.197847,NONE,999.9,0,0
0.183827,-75.7399,52.7321,-1.48633,1.62203,0.121975,0.197847,NONE,999.9,0,0
0.189177,-75.7383,52.7156,-1.48489,1.69184,0.152511,0.258025,NONE,999.9,0,0
0.19184,-75.7383,52.7156,-1.48489,1.69184,0.152511,0.258025,NONE,999.9,0,0
0.196106,-75.7383,52.7156,-1.48489,1.69184,0.152511,0.258025,NONE,999.9,0,0
0.20028,-75.7366,52.6984,-1.48328,1.75834,0.180158,0.316778,NONE,999.9,0,0
0.203795,-75.7366,52.6984,-1.48328,1.75834,0.180158,0.316778,NONE,999.9,0,0
0.208684,-75.7348,52.6806,-1.48134,1.82167,0.195138,0.355476,NONE,999.9,0,0
0.211825,-75.7348,52.6806,-1.48134,1.82167,0.195138,0.355476,NONE,999.9,0,0
0.216258,-75.7348,52.6806,-1.48134,1.82167,0.195138,0.355476,NONE,999.9,0,0
0.220353,-75.7328,52.6622,-1.47935,1.88199,0.213342,0.401507,NONE,999.9,0,0
0.223866,-75.7328,52.6622,-1.47935,1.88199,0.213342,0.401507,NONE,999.9,0,0
0.228603,-75.7308,52.6432,-1.47711,1.93944,0.22236,0.431254,NONE,999.9,0,0
0.231722,-75.7308,52.6432,-1.47711,1.93944,0.22236,0.431254,NONE,999.9,0,0
0.235915,-75.7308,52.6432,-1.47711,1.93944,0.22236,0.431254,NONE,999.9,0,0
0.239838,-75.7287,52.6236,-1.47488,1.99416,0.23632,0.471258,NONE,999.9,0,0
0.243989,-75.7287,52.6236,-1.47488,1.99416,0.23632,0.471258,NONE,999.9,0,0
0.249172,-75.7264,52.6036,-1.47242,2.04627,0.242375,0.495964,NONE,999.9,0,0
0.252161,-75.7264,52.6036,-1.47242,2.04627,0.242375,0.495964,NONE,999.9,0,0
0.256172,-75.7264,52.6036,-1.47242,2.04627,0.242375,0.495964,NONE,999.9,0,0
0.260015,-75.724,52.583,-1.47,2.09591,0.254,0.532362,NONE,999.9,0,0
0.263892,-75.724,52.583,-1.47,2.09591,0.254,0.532362,NONE,999.9,0,0
0.268669,-75.7216,52.5619,-1.46737,2.14319,0.258337,0.553665,NONE,999.9,0,0
0.271819,-75.7216,52.5619,-1.46737,2.14319,0.258337,0.553665,NONE,999.9,0,0
0.275745,-75.7216,52.5619,-1.46737,2.14319,0.258337,0.553665,NONE,999.9,0,0
0.279883,-75.719,52.5404,-1.4648,2.18822,0.268517,0.587574,NONE,999.9,0,0
0.284317,-75.719,52.5404,-1.4648,2.18822,0.268517,0.587574,NONE,999.9,0,0
0.288994,-75.7163,52.5185,-1.46203,2.23111,0.271755,0.606315,NONE,999.9,0,0
0.291806,-75.7163,52.5185,-1.46203,2.23111,0.271755,0.606315,NONE,999.9,0,0
0.296195,-75.7163,52.5185,-1.46203,2.23111,0.271755,0.606315,NONE,999.9,0,0
0.300191,-75.7136,52.4962,-1.45934,2.27196,0.280962,0.638335,NONE,999.9,0,0
0.304826,-75.7136,52.4962,-1.45934,2.27196,0.280962,0.638335,NONE,999.9,0,0
0.309708,-75.7107,52.4734,-1.45644,2.31087,0.283441,0.654996,NONE,999.9,0,0
0.312194,-75.7107,52.4734,-1.45644,2.31087,0.283441,0.654996,NONE,999.9,0,0
0.316659,-75.7107,52.4734,-1.45644,2.31087,0.283441,0.654996,NONE,999.9,0,0
0.320458,-75.7077,52.4503,-1.45364,2.34792,0.291947,0.68547,NONE,999.9,0,0
0.324499,-75.7077,52.4503,-1.45364,2.34792,0.291947,0.68547,NONE,999.9,0,0
0.333374,-75.7046,52.4269,-1.45064,2.38322,0.293866,0.700348,NONE,999.9,0,0
0.33618,-75.7046,52.4269,-1.45064,2.38322,0.293866,0.700348,NONE,999.9,0,0
0.340646,-75.7014,52.4031,-1.44773,2.41684,0.301835,0.729485,NONE,999.9,0,0
0.344399,-75.7014,52.4031,-1.44773,2.41684,0.301835,0.729485,NONE,999.9,0,0
0.353183,-75.6981,52.379,-1.44437,2.44886,0.379562,0.929492,NONE,999.9,0,0
0.356336,-75.6981,52.379,-1.44437,2.44886,0.379562,0.929492,NONE,999.9,0,0
0.360228,-75.6945,52.3545,-1.4403,2.49633,0.417568,1.04239,NONE,999.9,0,0
0.363869,-75.6945,52.3545,-1.4403,2.49633,0.417568,1.04239,NONE,999.9,0,0
0.369068,-75.6908,52.3296,-1.43602,2.54156,0.451238,1.14685,NONE,999.9,0,0
0.372254,-75.6908,52.3296,-1.43602,2.54156,0.451238,1.14685,NONE,999.9,0,0
0.375945,-75.6908,52.3296,-1.43602,2.54156,0.451238,1.14685,NONE,999.9,0,0
0.380592,-75.6869,52.3043,-1.43133,2.58463,0.472682,1.22171,NONE,999.9,0,0
0.38401,-75.6869,52.3043,-1.43133,2.58463,0.472682,1.22171,NONE,999.9,0,0
0.388999,-75.6828,52.2785,-1.42655,2.62565,0.494936,1.29953,NONE,999.9,0,0
0.391862,-75.6828,52.2785,-1.42655,2.62565,0.494936,1.29953,NONE,999.9,0,0
0.395976,-75.6828,52.2785,-1.42655,2.62565,0.494936,1.29953,NONE,999.9,0,0
0.399734,-75.6786,52.2524,-1.42146,2.66472,0.508389,1.35472,NONE,999.9,0,0
0.404604,-75.6786,52.2524,-1.42146,2.66472,0.508389,1.35472,NONE,999.9,0,0
0.409651,-75.6741,52.226,-1.41636,2.70194,0.52491,1.41827,NONE,999.9,0,0
0.412131,-75.6741,52.226,-1.41636,2.70194,0.52491,1.41827,NONE,999.9,0,0
0.416243,-75.6741,52.226,-1.41636,2.70194,0.52491,1.41827,NONE,999.9,0,0
0.42033,-75.6694,52.1992,-1.41099,2.73738,0.534199,1.46231,NONE,999.9,0,0
0.423985,-75.6694,52.1992,-1.41099,2.73738,0.534199,1.46231,NONE,999.9,0,0
0.42921,-75.6646,52.1721,-1.40565,2.77114,0.547611,1.51751,NONE,999.9,0,0
0.432431,-75.6646,52.1721,-1.40565,2.77114,0.547611,1.51751,NONE,999.9,0,0
0.436861,-75.6646,52.1721,-1.40565,2.77114,0.547611,1.51751,NONE,999.9,0,0
0.440352,-75.6596,52.1447,-1.40007,2.8033,0.554556,1.55458,NONE,999.9,0,0
0.444527,-75.6596,52.1447,-1.40007,2.8033,0.554556,1.55458,NONE,999.9,0,0
0.449065,-75.6543,52.117,-1.39454,2.83392,0.566144,1.60441,NONE,999.9,0,0
0.452302,-75.6543,52.117,-1.39454,2.83392,0.566144,1.60441,NONE,999.9,0,0
0.455865,-75.6543,52.117,-1.39454,2.83392,0.566144,1.60441,NONE,999.9,0,0
0.459879,-75.6489,52.089,-1.38877,2.86309,0.571657,1.6367,NONE,999.9,0,0
0.464033,-75.6489,52.089,-1.38877,2.86309,0.571657,1.6367,NONE,999.9,0,0
0.469962,-75.6433,52.0608,-1.38308,2.89087,0.582078,1.68271,NONE,999.9,0,0
0.472235,-75.6433,52.0608,-1.38308,2.89087,0.582078,1.68271,NONE,999.9,0,0
0.47645,-75.6433,52.0608,-1.38308,2.89087,0.582078,1.68271,NONE,999.9,0,0
0.480237,-75.6375,52.0323,-1.37716,2.91733,0.586635,1.71141,NONE,999.9,0,0
0.484269,-75.6375,52.0323,-1.37716,2.91733,0.586635,1.71141,NONE,999.9,0,0
0.489941,-75.6314,52.0037,-1.37132,2.94254,0.596242,1.75446,NONE,999.9,0,0
0.492138,-75.6314,52.0037,-1.37132,2.94254,0.596242,1.75446,NONE,999.9,0,0
0.495906,-75.6314,52.0037,-1.37132,2.94254,0.596242,1.75446,NONE,999.9,0,0
0.500038,-75.6252,51.9747,-1.36532,2.98014,0.590014,1.75832,NONE,999.9,0,0
0.504464,-75.6252,51.9747,-1.36532,2.98014,0.590014,1.75832,NONE,999.9,0,0
