t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
9.8207e-05,-75.7538,52.8966,-1.48757,0.118058,0,0,NONE,999.9,0,0
0.00462018,-75.7538,52.8966,-1.48757,0.118058,0,0,NONE,999.9,0,0
0.00902107,-75.7537,52.8949,-1.48766,0.213158,-0.0206644,-0.00440478,NONE,999.9,0,0
0.0112031,-75.7537,52.8949,-1.48766,0.213158,-0.0206644,-0.00440478,NONE,999.9,0,0
0.0158386,-75.7537,52.8949,-1.48766,0.213158,-0.0206644,-0.00440478,NONE,999.9,0,0
0.0196536,-75.7535,52.8923,-1.48805,0.308258,-0.0598288,-0.0184427,NONE,999.9,0,0
0.0261142,-75.7535,52.8923,-1.48805,0.308258,-0.0598288,-0.0184427,NONE,999.9,0,0
0.0298419,-75.7532,52.8888,-1.48856,0.403358,-0.0391032,-0.0157726,NONE,999.9,0,0
0.0315653,-75.7532,52.8888,-1.48856,0.403358,-0.0391032,-0.0157726,NONE,999.9,0,0
0.0361147,-75.7532,52.8888,-1.48856,0.403358,-0.0391032,-0.0157726,NONE,999.9,0,0
0.0409319,-75.7528,52.8843,-1.48922,0.498458,-0.0967442,-0.0482229,NONE,999.9,0,0
0.0437267,-75.7528,52.8843,-1.48922,0.498458,-0.0967442,-0.0482229,NONE,999.9,0,0
0.0485134,-75.7524,52.8789,-1.49017,0.589546,-0.0533002,-0.0314229,NONE,999.9,0,0
0.0511627,-75.7524,52.8789,-1.49017,0.589546,-0.0533002,-0.0314229,NONE,999.9,0,0
0.055454,-75.7524,52.8789,-1.49017,0.589546,-0.0533002,-0.0314229,NONE,999.9,0,0
0.0593492,-75.752,52.8725,-1.49104,0.684646,-0.113822,-0.0779278,NONE,999.9,0,0
0.0636535,-75.752,52.8725,-1.49104,0.684646,-0.113822,-0.0779278,NONE,999.9,0,0
0.0682355,-75.7517,52.8652,-1.49239,0.779746,-0.140781,-0.109774,NONE,999.9,0,0
0.0713613,-75.7517,52.8652,-1.49239,0.779746,-0.140781,-0.109774,NONE,999.9,0,0
0.0752174,-75.7517,52.8652,-1.49239,0.779746,-0.140781,-0.109774,NONE,999.9,0,0
0.0791721,-75.7513,52.8569,-1.49378,0.874846,-0.129793,-0.113549,NONE,999.9,0,0
0.0833438,-75.7513,52.8569,-1.49378,0.874846,-0.129793,-0.113549,NONE,999.9,0,0
0.0887665,-75.7508,52.8477,-1.49492,0.969946,-0.0942245,-0.0913927,NONE,999.9,0,0
0.0919625,-75.7508,52.8477,-1.49492,0.969946,-0.0942245,-0.0913927,NONE,999.9,0,0
0.096066,-75.7508,52.8477,-1.49492,0.969946,-0.0942245,-0.0913927,NONE,999.9,0,0
0.100023,-75.7502,52.8376,-1.49561,1.06292,-0.0387508,-0.0411889,NONE,999.9,0,0
0.103603,-75.7502,52.8376,-1.49561,1.06292,-0.0387508,-0.0411889,NONE,999.9,0,0
0.108934,-75.7494,52.8265,-1.49564,1.15147,0.0353827,0.0407421,NONE,999.9,0,0
0.111366,-75.7494,52.8265,-1.49564,1.15147,0.0353827,0.0407421,NONE,999.9,0,0
0.115426,-75.7494,52.8265,-1.49564,1.15147,0.0353827,0.0407421,NONE,999.9,0,0
0.119604,-75.7485,52.8146,-1.49501,1.23581,0.0748964,0.0925576,NONE,999.9,0,0
0.124072,-75.7485,52.8146,-1.49501,1.23581,0.0748964,0.0925576,NONE,999.9,0,0
0.12944,-75.7475,52.8019,-1.49413,1.31614,0.111249,0.146419,NONE,999.9,0,0
0.13166,-75.7475,52.8019,-1.49413,1.31614,0.111249,0.146419,NONE,999.9,0,0
0.136433,-75.7475,52.8019,-1.49413,1.31614,0.111249,0.146419,NONE,999.9,0,0
0.140739,-75.7463,52.7884,-1.49285,1.39265,0.131729,0.183453,NONE,999.9,0,0
0.143297,-75.7463,52.7884,-1.49285,1.39265,0.131729,0.183453,NONE,999.9,0,0
0.148027,-75.745,52.7742,-1.49147,1.46552,0.155761,0.228271,NONE,999.9,0,0
0.151193,-75.745,52.7742,-1.49147,1.46552,0.155761,0.228271,NONE,999.9,0,0
0.1564,-75.745,52.7742,-1.49147,1.46552,0.155761,0.228271,NONE,999.9,0,0
0.161051,-75.7435,52.7593,-1.48978,1.53493,0.168305,0.258336,NONE,999.9,0,0
0.163907,-75.7435,52.7593,-1.48978,1.53493,0.168305,0.258336,NONE,999.9,0,0
0.168759,-75.742,52.7437,-1.48807,1.60104,0.186222,0.298148,NONE,999.9,0,0
0.171927,-75.742,52.7437,-1.48807,1.60104,0.186222,0.298148,NONE,999.9,0,0
0.175299,-75.742,52.7437,-1.48807,1.60104,0.186222,0.298148,NONE,999.9,0,0
0.179257,-75.7404,52.7274,-1.4861,1.664,0.194535,0.323707,NONE,999.9,0,0
0.183292,-75.7404,52.7274,-1.4861,1.664,0.194535,0.323707,NONE,999.9,0,0
0.1888,-75.7387,52.7106,-1.48414,1.72397,0.20895,0.360223,NONE,999.9,0,0
