t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
7.6736e-05,-75.7538,52.8966,-1.48757,0.116266,0,0,FRENET,0.4,0.2,0
0.0030729,-75.7538,52.8966,-1.48757,0.116266,0,0,FRENET,0.4,0.2,0
0.00719222,-75.7538,52.8966,-1.48757,0.116266,0,0,FRENET,0.4,0.2,0
0.0112513,-75.7537,52.895,-1.48766,0.211366,-0.0204907,-0.00433104,FRENET,0.4,0.2,0
0.0153179,-75.7537,52.895,-1.48766,0.211366,-0.0204907,-0.00433104,FRENET,0.4,0.2,0
0.0206994,-75.7535,52.8924,-1.48804,0.306466,-0.0594811,-0.018229,FRENET,0.4,0.2,0
0.023094,-75.7535,52.8924,-1.48804,0.306466,-0.0594811,-0.018229,FRENET,0.4,0.2,0
0.027293,-75.7535,52.8924,-1.48804,0.306466,-0.0594811,-0.018229,FRENET,0.4,0.2,0
0.0310035,-75.7532,52.8889,-1.48855,0.397725,-0.0385571,-0.0153351,FRENET,0.4,0.2,0
0.0350055,-75.7532,52.8889,-1.48855,0.397725,-0.0385571,-0.0153351,FRENET,0.4,0.2,0
0.040102,-75.7528,52.8845,-1.4892,0.484645,-0.0940633,-0.0455873,FRENET,0.4,0.2,0
0.0432417,-75.7528,52.8845,-1.4892,0.484645,-0.0940633,-0.0455873,FRENET,0.4,0.2,0
0.0469839,-75.7528,52.8845,-1.4892,0.484645,-0.0940633,-0.0455873,FRENET,0.4,0.2,0
0.0514662,-75.7524,52.8792,-1.48997,0.567432,-0.0435697,-0.0247228,FRENET,0.4,0.2,0
0.0552272,-75.7524,52.8792,-1.48997,0.567432,-0.0435697,-0.0247228,FRENET,0.4,0.2,0
0.059917,-75.752,52.8732,-1.49054,0.646282,-0.0779578,-0.0503827,FRENET,0.4,0.2,0
0.0631457,-75.752,52.8732,-1.49054,0.646282,-0.0779578,-0.0503827,FRENET,0.4,0.2,0
0.0670951,-75.752,52.8732,-1.49054,0.646282,-0.0779578,-0.0503827,FRENET,0.4,0.2,0
0.0715665,-75.7516,52.8664,-1.49142,0.721383,-0.0831752,-0.0600012,FRENET,0.4,0.2,0
0.075638,-75.7516,52.8664,-1.49142,0.721383,-0.0831752,-0.0600012,FRENET,0.4,0.2,0
0.0797035,-75.7512,52.8587,-1.4923,0.80953,-0.104631,-0.0847018,FRENET,0.4,0.2,0
