# x, y, speed_mps, dist_to_wall
-69.2044,55.042,2,0
-69.4942,54.984,2,0
-69.784,54.984,2,0
-70.0738,54.984,2,0
-70.3636,54.984,2,0
-70.6534,54.926,2,0
-70.9432,54.926,2,0
-71.233,54.8681,2,0
-71.5228,54.8681,2,0
-71.8126,54.8101,2,0
-72.1024,54.8101,2,0
-72.3922,54.7522,2,0
-72.682,54.6942,2,0
-72.9718,54.6362,2,0
-73.2616,54.6362,2,0
-73.5514,54.5783,2,0
-73.8412,54.5203,2,0
-74.131,54.5203,2,0
-74.4208,54.4624,2,0
-74.7106,54.4624,2,0
-75.0004,54.4044,2,0
-75.2902,54.4044,2,0
-75.58,54.3464,2,0
-75.8698,54.2885,2,0
-76.1596,54.2305,2,0
-76.4494,54.0566,2,0
-76.7392,53.8248,2,0
-76.971,53.535,2,0
-77.1449,53.2452,2,0
-77.2029,52.9554,2,0
-77.2608,52.6656,2,0
-77.3188,52.3758,2,0
-77.2608,52.086,2,0
-77.2608,51.7962,2,0
-77.1449,51.5064,2,0
-77.029,51.2166,2,0
-76.8551,50.9268,2,0
-76.6812,50.637,2,0
-76.4494,50.3472,2,0
-76.2176,50.0574,2,0
-75.9278,49.7676,2,0
-75.638,49.4778,2,0
-75.3482,49.188,2,0
-75.0584,48.8982,2,0
-74.7686,48.6084,2,0
-74.4788,48.3186,2,0
-74.189,48.0288,2,0
-73.8992,47.739,2,0
-73.6094,47.4492,2,0
-73.3196,47.1594,2,0
-73.0298,46.8696,2,0
-72.74,46.5798,2,0
-72.4502,46.29,2,0
-72.1604,46.0002,2,0
-71.8706,45.7104,2,0
-71.5808,45.4206,2,0
-71.291,45.1308,2,0
-71.0012,44.841,2,0
-70.7114,44.5512,2,0
-70.4216,44.2614,2,0
-70.1897,43.9716,2,0
-69.8999,43.6818,2,0
-69.6101,43.392,2,0
-69.3203,43.1022,2,0
-69.0305,42.8124,2,0
-68.7407,42.5226,2,0
-68.4509,42.2328,2,0
-68.2191,41.943,2,0
-67.9293,41.6532,2,0
-67.6395,41.3634,2,0
-67.3497,41.0736,2,0
-67.0599,40.7838,2,0
-66.7701,40.494,2,0
-66.4803,40.2042,2,0
-66.2484,39.9144,2,0
-65.9586,39.6246,2,0
-65.6688,39.3348,2,0
-65.379,39.045,2,0
-65.0892,38.7552,2,0
-64.8574,38.4654,2,0
-64.5676,38.1756,2,0
-64.2778,37.8858,2,0
-64.046,37.596,2,0
-63.8141,37.3062,2,0
-63.5823,37.0164,2,0
-63.2925,36.7266,2,0
-63.1186,36.4368,2,0
-62.8868,36.147,2,0
-62.6549,35.8572,2,0
-62.481,35.5674,2,0
-62.2492,35.2776,2,0
-62.0753,34.9878,2,0
-61.9014,34.698,2,0
-61.7276,34.4082,2,0
-61.4957,34.1184,2,0
-61.3218,33.8286,2,0
-61.09,33.5388,2,0
-60.9161,33.249,2,0
-60.6843,32.9592,2,0
-60.5104,32.6694,2,0
-60.3365,32.3796,2,0
-60.1626,32.0898,2,0
-59.9888,31.8,2,0
-59.8728,31.5102,2,0
-59.699,31.2204,2,0
-59.583,30.9306,2,0
-59.4671,30.6408,2,0
-59.2932,30.351,2,0
-59.1773,30.0612,2,0
-59.0614,29.7714,2,0
-58.8875,29.4816,2,0
-58.7716,29.1918,2,0
-58.6557,28.902,2,0
-58.5398,28.6122,2,0
-58.3659,28.3224,2,0
-58.25,28.0326,2,0
-58.134,27.7428,2,0
-57.9602,27.453,2,0
-57.8442,27.1632,2,0
-57.7283,26.8734,2,0
-57.6124,26.5836,2,0
-57.4385,26.2938,2,0
-57.3226,26.004,2,0
-57.2067,25.7142,2,0
-57.0328,25.4244,2,0
-56.9169,25.1346,2,0
-56.801,24.8448,2,0
-56.6271,24.555,2,0
-56.5112,24.2652,2,0
-56.3952,23.9754,2,0
-56.2793,23.6856,2,0
-56.1054,23.3958,2,0
-55.9895,23.106,2,0
-55.8736,22.8162,2,0
-55.6997,22.5264,2,0
-55.5838,22.2366,2,0
-55.4679,21.9468,2,0
-55.294,21.657,2,0
-55.1781,21.3672,2,0
-55.0622,21.0774,2,0
-54.8883,20.7876,2,0
-54.7724,20.4978,2,0
-54.6564,20.208,2,0
-54.4826,19.9182,2,0
-54.3666,19.6284,2,0
-54.2507,19.3386,2,0
-54.0768,19.0488,2,0
-53.9609,18.759,2,0
-53.787,18.4692,2,0
-53.6711,18.1794,2,0
-53.4972,17.8896,2,0
-53.3813,17.5998,2,0
-53.2074,17.31,2,0
-53.0915,17.0202,2,0
-52.9176,16.7304,2,0
-52.8017,16.4406,2,0
-52.6278,16.1508,2,0
-52.5119,15.861,2,0
-52.338,15.5712,2,0
-52.2221,15.2814,2,0
-52.0482,14.9916,2,0
-51.8744,14.7018,2,0
-51.7584,14.412,2,0
-51.5846,14.1222,2,0
-51.4107,13.8324,2,0
-51.2948,13.5426,2,0
-51.1209,13.2528,2,0
-50.947,12.963,2,0
-50.7731,12.6732,2,0
-50.6572,12.3834,2,0
-50.4833,12.0936,2,0
-50.3094,11.8038,2,0
-50.1935,11.514,2,0
-50.0196,11.2242,2,0
-49.8458,10.9344,2,0
-49.6719,10.6446,2,0
-49.498,10.3548,2,0
-49.3241,10.065,2,0
-49.1502,9.7752,2,0
-48.9764,9.4854,2,0
-48.7445,9.1956,2,0
-48.5706,8.9058,2,0
-48.3968,8.616,2,0
-48.1649,8.3262,2,0
-47.991,8.0364,2,0
-47.7592,7.7466,2,0
-47.5853,7.4568,2,0
-47.3535,7.167,2,0
-47.1216,6.8772,2,0
-46.9478,6.5874,2,0
-46.7159,6.2976,2,0
-46.542,6.0078,2,0
-46.3102,5.718,2,0
-46.1363,5.4282,2,0
-45.9045,5.1384,2,0
-45.6726,4.8486,2,0
-45.4988,4.5588,2,0
-45.2669,4.269,2,0
-45.093,3.9792,2,0
-44.8612,3.6894,2,0
-44.6873,3.3996,2,0
-44.4555,3.1098,2,0
-44.2236,2.82,2,0
-44.0498,2.5302,2,0
-43.8179,2.2404,2,0
-43.644,1.9506,2,0
-43.4122,1.6608,2,0
-43.2383,1.371,2,0
