ws,wt,wc,wcl,wd,dm,Score_FGM_mean,Score_FGM_max,Score_FRENET_mean,Score_FRENET_max,duration_s_mean,valid_count_sum,fgm_min_d_mean,fgm_ratio_mean,frenet_ratio_mean
1.75,1.6,0.98,1.32,0.53,0.47,38.08043971089821,43.779659223656076,39.26695536096193,43.13676894697765,11.725,8,0.0036316375,0.36738709248360124,0.6326129075163988
1.8,1.65,1.02,1.35,0.55,0.49,36.05070075022755,40.95970899336901,38.56636622243983,46.87569157152202,11.8775,8,0.0027530625000000003,0.31892977766301067,0.6810702223369893
1.55,1.4,0.86,1.13,0.44,0.4,35.01442686296612,40.05891422074811,34.92128014173337,39.4491074994416,12.30375,8,0.00301189625,0.3349626880410765,0.6650373119589235
1.68,1.51,0.94,1.26,0.5,0.44,34.950151648927935,38.996498559590954,37.20386061059844,43.18745004510065,12.02125,8,0.00196987625,0.32341869033088216,0.6736704646924045
1.66,1.48,0.92,1.22,0.49,0.43,34.810771256990805,39.322252430865376,37.29357302857108,44.23793172181714,12.045,8,0.00338263625,0.33051882036788033,0.6694811796321197
1.71,1.55,0.93,1.28,0.49,0.45,34.7035129703299,39.85770761926638,36.014679103918716,42.43659795470989,12.307500000000001,8,0.00216308625,0.33735641814999406,0.6626435818500059
1.65,1.47,0.9,1.2,0.47,0.42,34.497594732060215,39.33960790696867,36.90196234871271,39.411701589820105,12.0875,8,0.00257817375,0.33227263012222513,0.6677273698777748
1.69,1.53,0.94,1.26,0.5,0.44,34.201812308198235,41.35157964800922,36.404798154251836,43.74723456664505,12.2525,8,0.001995645,0.32258449751113055,0.6774155024888694
1.63,1.46,0.9,1.19,0.47,0.42,34.20111803904483,38.11006848663917,38.873849076775144,41.165042021693964,12.02625,8,0.0023521125,0.3425303145467501,0.6574696854532499
1.76,1.61,0.99,1.34,0.53,0.47,34.158884301693824,38.603565991006725,37.46625323699264,41.40394629485793,12.1075,8,0.0023959475,0.3111994299098759,0.6888005700901241
1.72,1.57,0.96,1.29,0.51,0.45,33.99380221474349,41.70136216206469,36.63095213758756,44.32599876974454,12.1875,8,0.00242745875,0.31932780447790676,0.6806721955220932
2.91,1.32,0.66,1.12,1.01,0.3,33.87682022372232,38.778964257734884,34.03756912733241,38.69391782702699,12.38125,8,0.0029474525,0.2883023025256546,0.7116976974743454
2.64,1.57,0.69,1.09,1.08,0.3,33.60204153542823,38.96497164148027,34.83934132399358,44.42422106759514,12.49375,8,0.00223984875,0.28551955192975564,0.7144804480702444
2.9,1.6,0.74,1.29,1.42,0.41,33.31978668018316,39.81809093449928,34.13344896521923,41.40186243553728,12.49375,8,0.00298809875,0.2844943208660527,0.7155056791339472
1.61,1.49,0.91,1.21,0.48,0.43,33.19842173147322,39.69061999289637,33.8627841602171,40.018329522865784,12.48375,8,0.00331114375,0.3159146776355687,0.6840853223644313
2.47,1.47,0.83,1.26,1.34,0.37,33.056147668815086,36.79064152095945,32.508066137894744,38.98961132075661,12.58,8,0.0019078699999999999,0.24717174846530388,0.7528282515346961
2.49,1.35,0.64,1.18,1.17,0.33,32.89052623696086,36.28520841082143,33.65828829204503,39.7691612080083,12.415000000000001,8,0.0032786,0.26794930268738487,0.7320506973126152
2.39,1.5,0.82,1.26,1.34,0.37,32.74708549422245,40.20252790732846,32.29495084474242,37.76841318235032,12.6775,8,0.0021157150000000002,0.26538519532545396,0.734614804674546
2.17,1.69,0.94,1.24,1.15,0.35,32.68631166023425,39.57339184175183,32.816074451036826,37.40177915177287,12.63875,8,0.0026906775,0.28764307296652536,0.7123569270334746
2.88,1.62,0.76,1.3,1.44,0.42,32.63503380974992,38.44482925279796,32.415215301653745,38.28089360821892,12.58375,8,0.003575385,0.28753727872489687,0.7124627212751031
2.67,1.66,0.97,1.52,1.88,0.46,31.579817683454134,36.985413637539345,30.437868611306136,34.450689617990584,12.985,8,0.0028871025,0.2687946605564938,0.7312053394435062
1.88,1.74,1.03,1.33,1.53,0.42,31.50045796989487,36.04421652306936,31.8239082136695,38.82645425026306,12.77875,8,0.00249618,0.251953761078663,0.7480462389213369
