# x, y, speed_mps, dist_to_wall
-69.2044,55.042,2,0
-69.5033,55.2921,2,0
-69.8022,55.2527,2,0
-70.1011,55.2494,2,0
-70.4,55.2408,2,0
-70.6988,55.2158,2,0
-70.9973,55.1841,2,0
-71.2956,55.1527,2,0
-71.5938,55.1219,2,0
-71.8921,55.0902,2,0
-72.1908,55.0569,2,0
-72.4902,55.0222,2,0
-72.7907,54.9863,2,0
-73.0926,54.9496,2,0
-73.396,54.9126,2,0
-73.7012,54.8753,2,0
-74.008,54.8378,2,0
-74.3165,54.8002,2,0
-74.6266,54.7625,2,0
-74.9381,54.7246,2,0
-75.2506,54.6859,2,0
-75.5652,54.6507,2,0
-75.8903,54.6482,2,0
-76.1737,54.5022,2,0
-76.4701,54.3956,2,0
-76.7255,54.1849,2,0
-76.9682,53.9529,2,0
-77.1632,53.6686,2,0
-77.3325,53.3653,2,0
-77.4621,53.0433,2,0
-77.6129,52.7316,2,0
-77.5756,52.3198,2,0
-77.6107,51.9019,2,0
-77.4991,51.5548,2,0
-77.3718,51.2114,2,0
-77.2562,50.8549,2,0
-77.015,50.5725,2,0
-76.7856,50.2783,2,0
-76.5462,49.9867,2,0
-76.2959,49.6993,2,0
-76.0371,49.4154,2,0
-75.7712,49.1346,2,0
-75.4998,48.8559,2,0
-75.2247,48.5781,2,0
-74.9475,48.2996,2,0
-74.6691,48.0199,2,0
-74.39,47.7387,2,0
-74.1103,47.456,2,0
-73.83,47.1722,2,0
-73.5491,46.8874,2,0
-73.2676,46.6018,2,0
-72.9856,46.3156,2,0
-72.7031,46.0289,2,0
-72.4202,45.7419,2,0
-72.1369,45.4545,2,0
-71.8534,45.167,2,0
-71.5699,44.8793,2,0
-71.2863,44.5914,2,0
-71.0028,44.3035,2,0
-70.7195,44.0155,2,0
-70.4365,43.7275,2,0
-70.1539,43.4394,2,0
-69.8718,43.1513,2,0
-69.5903,42.8632,2,0
-69.3095,42.575,2,0
-69.0294,42.2869,2,0
-68.7504,41.9987,2,0
-68.4724,41.7105,2,0
-68.1955,41.4222,2,0
-67.9201,41.1339,2,0
-67.6461,40.8456,2,0
-67.3738,40.5572,2,0
-67.1033,40.2687,2,0
-66.8348,39.9803,2,0
-66.5685,39.6918,2,0
-66.3047,39.4033,2,0
-66.0434,39.1147,2,0
-65.7848,38.8262,2,0
-65.5292,38.5377,2,0
-65.2767,38.2492,2,0
-65.0275,37.9607,2,0
-64.7817,37.6723,2,0
-64.5394,37.384,2,0
-64.3008,37.0957,2,0
-64.066,36.8074,2,0
-63.8351,36.5193,2,0
-63.6081,36.2312,2,0
-63.3851,35.9432,2,0
-63.166,35.6553,2,0
-62.9511,35.3675,2,0
-62.7401,35.0797,2,0
-62.5333,34.792,2,0
-62.3304,34.5044,2,0
-62.1315,34.2168,2,0
-61.9366,33.9292,2,0
-61.7456,33.6417,2,0
-61.5585,33.3542,2,0
-61.375,33.0666,2,0
-61.1953,32.7791,2,0
-61.0192,32.4915,2,0
-60.8465,32.2039,2,0
-60.6772,31.9162,2,0
-60.5112,31.6285,2,0
-60.3482,31.3406,2,0
-60.1882,31.0527,2,0
-60.031,30.7646,2,0
-59.8764,30.4765,2,0
-59.7242,30.1882,2,0
-59.5744,29.8997,2,0
-59.4266,29.6111,2,0
-59.2807,29.3224,2,0
-59.1366,29.0335,2,0
-58.994,28.7445,2,0
-58.8528,28.4553,2,0
-58.7128,28.166,2,0
-58.5739,27.8766,2,0
-58.436,27.587,2,0
-58.2987,27.2974,2,0
-58.1622,27.0076,2,0
-58.0262,26.7178,2,0
-57.8906,26.4279,2,0
-57.7554,26.1379,2,0
-57.6204,25.8479,2,0
-57.4856,25.5578,2,0
-57.3509,25.2677,2,0
-57.2163,24.9776,2,0
-57.0817,24.6875,2,0
-56.9471,24.3973,2,0
-56.8124,24.1072,2,0
-56.6777,23.817,2,0
-56.5428,23.5269,2,0
-56.4078,23.2367,2,0
-56.2726,22.9465,2,0
-56.1373,22.6562,2,0
-56.0017,22.366,2,0
-55.866,22.0756,2,0
-55.7301,21.7853,2,0
-55.594,21.4948,2,0
-55.4577,21.2043,2,0
-55.3213,20.9136,2,0
-55.1847,20.6228,2,0
-55.0479,20.3318,2,0
-54.911,20.0407,2,0
-54.7738,19.7495,2,0
-54.6363,19.4582,2,0
-54.4982,19.167,2,0
-54.3595,18.8758,2,0
-54.2199,18.5848,2,0
-54.0793,18.2941,2,0
-53.9376,18.0037,2,0
-53.7947,17.7136,2,0
-53.6506,17.4239,2,0
-53.5052,17.1345,2,0
-53.3584,16.8454,2,0
-53.2105,16.5564,2,0
-53.0621,16.2672,2,0
-52.9142,15.977,2,0
-52.768,15.685,2,0
-52.6227,15.3918,2,0
-52.4732,15.1004,2,0
-52.3158,14.8131,2,0
-52.155,14.5272,2,0
-51.9953,14.2397,2,0
-51.8375,13.95,2,0
-51.6808,13.6588,2,0
-51.5241,13.3664,2,0
-51.3671,13.0733,2,0
-51.2094,12.7796,2,0
-51.0509,12.4853,2,0
-50.8915,12.1904,2,0
-50.7316,11.8947,2,0
-50.572,11.5976,2,0
-50.4145,11.298,2,0
-50.259,10.996,2,0
-50.098,10.6961,2,0
-49.9228,10.404,2,0
-49.7415,10.1146,2,0
-49.5595,9.8243,2,0
-49.3762,9.5336,2,0
-49.1901,9.24349,2,0
-49.0003,8.95458,2,0
-48.8065,8.66708,2,0
-48.6088,8.38087,2,0
-48.4082,8.09554,2,0
-48.2055,7.81049,2,0
-48.0019,7.52518,2,0
-47.7978,7.23927,2,0
-47.5936,6.95264,2,0
-47.3894,6.66532,2,0
-47.1852,6.3774,2,0
-46.9808,6.089,2,0
-46.7762,5.8002,2,0
-46.5714,5.5111,2,0
-46.3664,5.22177,2,0
-46.1611,4.93227,2,0
-45.9555,4.64264,2,0
-45.7498,4.35292,2,0
-45.5438,4.06316,2,0
-45.3376,3.77337,2,0
-45.1312,3.48357,2,0
-44.9247,3.19379,2,0
-44.7181,2.90403,2,0
-44.5113,2.61431,2,0
-44.3045,2.32463,2,0
-44.0977,2.03499,2,0
-43.8908,1.7454,2,0
-43.684,1.45586,2,0
-43.4772,1.16638,2,0
-43.2704,0.876947,2,0
-43.0638,0.587567,2,0
-42.8573,0.298239,2,0
-42.6509,0.00896086,2,0
-42.4447,-0.28027,2,0
-42.2387,-0.569457,2,0
-42.033,-0.858605,2,0
-41.8276,-1.14772,2,0
-41.6226,-1.43681,2,0
-41.418,-1.72588,2,0
-41.214,-2.01494,2,0
-41.0105,-2.30401,2,0
-40.8077,-2.5931,2,0
-40.6056,-2.88221,2,0
-40.4044,-3.17137,2,0
-40.2042,-3.46059,2,0
-40.005,-3.74988,2,0
-39.8071,-4.03926,2,0
-39.6103,-4.32873,2,0
-39.415,-4.61832,2,0
-39.221,-4.90802,2,0
-39.0286,-5.19786,2,0
-38.8377,-5.48783,2,0
-38.6483,-5.77794,2,0
-38.4605,-6.06818,2,0
-38.2742,-6.35856,2,0
-38.0894,-6.64904,2,0
-37.9059,-6.93957,2,0
-37.7237,-7.2301,2,0
-37.5426,-7.52054,2,0
-37.3625,-7.81081,2,0
-37.1833,-8.10089,2,0
-37.0049,-8.39099,2,0
-36.8286,-8.68298,2,0
-36.6518,-8.97516,2,0
-36.0403,-8.81366,2,0
-35.7525,-8.86763,2,0
-35.4864,-8.92473,2,0
-35.2188,-8.97843,2,0
-34.9507,-9.02895,2,0
-34.6823,-9.07535,2,0
-34.4135,-9.11671,2,0
-34.1442,-9.15226,2,0
-33.874,-9.18137,2,0
-33.603,-9.20354,2,0
-33.3309,-9.21845,2,0
-33.0577,-9.22591,2,0
-32.7833,-9.22587,2,0
-32.5078,-9.21842,2,0
-32.231,-9.20374,2,0
-31.9531,-9.18212,2,0
-31.674,-9.15391,2,0
-31.3939,-9.11953,2,0
-31.1127,-9.07945,2,0
-30.8306,-9.03415,2,0
-30.5475,-8.98413,2,0
-30.2637,-8.92988,2,0
-29.9791,-8.87189,2,0
-29.6938,-8.81062,2,0
-29.4079,-8.7465,2,0
-29.1216,-8.67994,2,0
-28.8348,-8.61129,2,0
-28.5476,-8.54089,2,0
-28.26,-8.46903,2,0
-27.9722,-8.39595,2,0
-27.6842,-8.32187,2,0
-27.3959,-8.24699,2,0
-27.1074,-8.17144,2,0
-26.8187,-8.09537,2,0
-26.5299,-8.01888,2,0
-26.2408,-7.94206,2,0
-25.9516,-7.86497,2,0
-25.6622,-7.78766,2,0
-25.3727,-7.7102,2,0
-25.0829,-7.63259,2,0
-24.793,-7.55488,2,0
-24.503,-7.47708,2,0
-24.2128,-7.39921,2,0
-23.9225,-7.32127,2,0
-23.632,-7.24328,2,0
-23.3416,-7.16524,2,0
-23.0511,-7.08717,2,0
-22.7605,-7.00905,2,0
-22.47,-6.9309,2,0
-22.1795,-6.85272,2,0
-21.8891,-6.77451,2,0
-21.5988,-6.69629,2,0
-21.3086,-6.61804,2,0
-21.0185,-6.53978,2,0
-20.7286,-6.4615,2,0
-20.4388,-6.38322,2,0
-20.1491,-6.30493,2,0
-19.8596,-6.22665,2,0
-19.5702,-6.14836,2,0
-19.2808,-6.07009,2,0
-18.9916,-5.99182,2,0
-18.7023,-5.91358,2,0
-18.4131,-5.83536,2,0
-18.1239,-5.75716,2,0
-17.8347,-5.67899,2,0
-17.5454,-5.60086,2,0
-17.2561,-5.52276,2,0
-16.9667,-5.4447,2,0
-16.6772,-5.36669,2,0
-16.3875,-5.28871,2,0
-16.0978,-5.21078,2,0
-15.8081,-5.13289,2,0
-15.5182,-5.05504,2,0
-15.2283,-4.97722,2,0
-14.9383,-4.89945,2,0
-14.6483,-4.8217,2,0
-14.3583,-4.74398,2,0
-14.0684,-4.66629,2,0
-13.7784,-4.58862,2,0
-13.4886,-4.51097,2,0
-13.1988,-4.43332,2,0
-12.909,-4.35569,2,0
-12.6194,-4.27807,2,0
-12.3299,-4.20044,2,0
-12.0404,-4.12281,2,0
-11.751,-4.04517,2,0
-11.4616,-3.96752,2,0
-11.1723,-3.88985,2,0
-10.883,-3.81216,2,0
-10.5937,-3.73444,2,0
-10.3044,-3.65669,2,0
-10.0149,-3.57889,2,0
-9.72545,-3.50105,2,0
-9.43585,-3.42315,2,0
-9.14614,-3.3452,2,0
-8.85629,-3.26719,2,0
-8.56631,-3.18911,2,0
-8.2762,-3.11097,2,0
-7.98595,-3.03276,2,0
-7.69558,-2.95449,2,0
-7.40511,-2.87616,2,0
-7.11457,-2.79778,2,0
-6.82396,-2.71935,2,0
-6.53333,-2.6409,2,0
-6.2427,-2.56242,2,0
-5.95211,-2.48393,2,0
-5.66157,-2.40545,2,0
-5.37113,-2.32699,2,0
-5.08079,-2.24857,2,0
-4.79059,-2.17019,2,0
-4.50053,-2.09187,2,0
-4.21062,-2.01362,2,0
-3.92086,-1.93545,2,0
-3.63125,-1.85736,2,0
-3.34177,-1.77935,2,0
-3.05242,-1.70143,2,0
-2.76316,-1.62359,2,0
-2.47397,-1.54582,2,0
-2.18483,-1.46813,2,0
-1.89571,-1.39049,2,0
-1.60658,-1.3129,2,0
-1.31741,-1.23535,2,0
-1.02817,-1.15782,2,0
-0.738855,-1.0803,2,0
-0.449438,-1.00279,2,0
-0.159911,-0.925269,2,0
0.129732,-0.847728,2,0
0.419491,-0.77016,2,0
0.70936,-0.692558,2,0
0.999328,-0.614917,2,0
1.28938,-0.537234,2,0
1.5795,-0.459506,2,0
1.86966,-0.381733,2,0
2.15985,-0.303915,2,0
2.45004,-0.226054,2,0
2.74021,-0.148153,2,0
3.03034,-0.0702148,2,0
3.32042,0.00775553,2,0
3.61045,0.0857536,2,0
3.90041,0.163774,2,0
4.1903,0.241812,2,0
4.48013,0.319862,2,0
4.76991,0.397919,2,0
5.05965,0.475977,2,0
5.34937,0.554031,2,0
5.63908,0.632077,2,0
5.92882,0.710111,2,0
6.21859,0.788131,2,0
6.50843,0.866133,2,0
6.79834,0.944118,2,0
7.08833,1.02209,2,0
7.37843,1.10004,2,0
7.66864,1.17799,2,0
7.95895,1.25593,2,0
8.24936,1.33389,2,0
8.53987,1.41187,2,0
8.83045,1.4899,2,0
9.12111,1.568,2,0
9.4118,1.64621,2,0
9.70252,1.72456,2,0
9.99324,1.8031,2,0
10.2839,1.8819,2,0
10.5746,1.96101,2,0
10.8651,2.04051,2,0
11.1556,2.12049,2,0
11.4459,2.20106,2,0
11.7361,2.28231,2,0
12.0262,2.36438,2,0
12.3161,2.44739,2,0
12.6058,2.5315,2,0
12.8953,2.61686,2,0
13.1846,2.70362,2,0
13.4737,2.79197,2,0
13.7626,2.88207,2,0
14.0513,2.97411,2,0
14.3397,3.06827,2,0
14.628,3.16473,2,0
14.9161,3.26366,2,0
15.2039,3.36524,2,0
15.4915,3.46964,2,0
15.7789,3.57702,2,0
16.066,3.68752,2,0
16.3529,3.80128,2,0
16.6394,3.91844,2,0
16.9255,4.03912,2,0
17.2112,4.16342,2,0
17.4963,4.29146,2,0
17.7807,4.42332,2,0
18.0643,4.5591,2,0
18.3468,4.69887,2,0
18.6281,4.84273,2,0
18.9078,4.99074,2,0
19.1857,5.14298,2,0
19.4613,5.29952,2,0
19.7342,5.46043,2,0
20.004,5.62579,2,0
20.2701,5.79565,2,0
20.532,5.97008,2,0
20.789,6.14912,2,0
21.0403,6.33282,2,0
21.2854,6.52121,2,0
21.5235,6.71433,2,0
21.7538,6.91218,2,0
21.9756,7.11475,2,0
22.188,7.32202,2,0
22.3904,7.53396,2,0
22.582,7.75051,2,0
22.7622,7.97161,2,0
22.9305,8.19716,2,0
23.0862,8.42706,2,0
23.2289,8.66121,2,0
23.3584,8.89946,2,0
23.4743,9.14167,2,0
23.5767,9.38769,2,0
23.6654,9.63737,2,0
23.7406,9.89053,2,0
23.8025,10.147,2,0
23.8515,10.4066,2,0
23.888,10.6691,2,0
23.9125,10.9344,2,0
23.9255,11.2023,2,0
23.9278,11.4726,2,0
23.92,11.7451,2,0
23.9029,12.0197,2,0
23.8772,12.2961,2,0
23.8436,12.5742,2,0
23.8029,12.8539,2,0
23.7558,13.1349,2,0
23.703,13.4171,2,0
23.6452,13.7005,2,0
23.5829,13.9848,2,0
23.5168,14.2699,2,0
23.4472,14.5557,2,0
23.3748,14.8422,2,0
23.2997,15.1291,2,0
23.2225,15.4164,2,0
23.1434,15.7041,2,0
23.0626,15.992,2,0
22.9803,16.2801,2,0
22.8966,16.5682,2,0
22.8115,16.8564,2,0
22.7253,17.1446,2,0
22.6377,17.4326,2,0
22.5488,17.7205,2,0
22.4584,18.0081,2,0
22.3665,18.2955,2,0
22.2728,18.5824,2,0
22.1771,18.8688,2,0
22.0791,19.1547,2,0
21.9786,19.4399,2,0
21.8752,19.7243,2,0
21.7686,20.0079,2,0
21.6584,20.2905,2,0
21.5443,20.572,2,0
21.4259,20.8522,2,0
21.3029,21.1312,2,0
21.1748,21.4087,2,0
21.0415,21.6847,2,0
20.9026,21.959,2,0
20.758,22.2316,2,0
20.6076,22.5025,2,0
20.4512,22.7716,2,0
20.2889,23.0388,2,0
20.1209,23.3043,2,0
19.9473,23.568,2,0
19.7684,23.8301,2,0
19.5848,24.0905,2,0
19.3968,24.3495,2,0
19.2051,24.6071,2,0
19.0102,24.8635,2,0
18.8129,25.1192,2,0
18.6135,25.3748,2,0
18.4044,25.6275,2,0
18.4665,26.345,2,0
18.1705,26.4342,2,0
17.8927,26.5437,2,0
17.6149,26.6523,2,0
17.3655,26.8157,2,0
17.0447,26.8341,2,0
16.7504,26.9041,2,0
16.4558,26.9723,2,0
16.148,27.004,2,0
15.8402,27.0341,2,0
15.5352,27.022,2,0
15.2315,27.012,2,0
14.9287,27.0088,2,0
14.6268,27.0076,2,0
14.3257,27.0065,2,0
14.0257,27.0052,2,0
13.7267,27.0036,2,0
13.4286,27.0017,2,0
13.1315,26.9994,2,0
12.8352,26.9967,2,0
12.5398,26.9937,2,0
12.2452,26.9903,2,0
11.9513,26.9865,2,0
11.6581,26.9824,2,0
