# x,y,yaw_rad,speed_mps,dist_to_wall
44.5,29.35,2.41499,2.0,2.05
44.42526,29.41643,2.41641,2.14477,2.06579
44.35042,29.48276,2.41643,2.28041,2.02668
44.27558,29.54909,2.41773,2.40836,2.02219
44.20065,29.61531,2.41782,2.52983,1.96601
44.12572,29.68154,2.41999,2.64574,1.98829
44.05065,29.74759,2.42141,2.75675,1.98258
43.97548,29.81355,2.42357,2.86353,1.98991
43.90017,29.87934,2.42571,2.96647,1.94892
43.82472,29.94497,2.42884,3.06593,1.97066
43.74906,30.01036,2.43215,3.16225,1.9588
43.67319,30.0755,2.43526,3.2558,1.95719
43.59711,30.1404,2.43953,3.34666,1.97505
43.52076,30.20498,2.44442,3.43511,2.01804
43.4441,30.26919,2.4496,3.52134,2.01939
43.3671,30.333,2.45493,3.60553,2.01658
43.28976,30.39639,2.46234,3.68782,2.0047
43.21196,30.45921,2.46888,3.76834,1.99925
43.13374,30.52152,2.47725,3.84709,1.99944
43.05501,30.58318,2.48621,3.92427,2.0021
42.97573,30.64412,2.49511,4.00004,1.98899
42.89591,30.70436,2.50607,4.07432,1.98427
42.81543,30.76372,2.51709,4.1473,1.97642
42.73431,30.82219,2.52967,4.21901,1.9137
42.65245,30.87964,2.54212,4.2895,1.9184
42.56989,30.93606,2.55616,4.35891,1.9074
42.48654,30.99131,2.57158,4.42721,1.88811
42.40236,31.04528,2.58605,4.49447,1.87703
42.31739,31.09802,2.60309,4.5606,1.85391
42.23155,31.1493,2.6188,4.62634,1.82427
42.1449,31.19923,2.63657,4.68973,1.79034
42.05739,31.24762,2.65294,4.75381,1.76928
41.96909,31.29456,2.67172,4.74007,1.71468
41.87993,31.33984,2.68795,4.7495,1.67861
41.79004,31.38366,2.70597,4.77576,1.67436
41.69938,31.42586,2.72224,4.83314,1.63558
41.60805,31.46657,2.73909,4.89514,1.6095
41.51604,31.50575,2.75424,4.956,1.58133
41.42345,31.54352,2.76875,5.01616,1.59157
41.33032,31.57995,2.78296,5.07566,1.53149
41.23668,31.61505,2.7956,5.13443,1.52771
41.14261,31.64896,2.80734,5.19252,1.5232
41.04814,31.68177,2.81874,5.24991,1.54346
40.95331,31.71349,2.82838,5.30679,1.54196
40.85817,31.7443,2.83815,5.36304,1.59649
40.76274,31.77418,2.84657,5.41865,1.5793
40.66706,31.80326,2.85338,5.47375,1.6191
