# x, y, speed_mps, dist_to_wall
-75.522,53.0713,2,1.18095
-75.4922,52.9821,2.13654,1.15848
-75.4622,52.8929,2.2648,1.03115
-75.432,52.8039,2.38607,0.984957
-75.4015,52.715,2.50133,0.857625
-75.3707,52.6265,2.61133,0.811436
-75.3394,52.5384,2.71665,0.695338
-75.3075,52.4507,2.81778,0.660383
-75.275,52.3636,2.91511,0.544284
-75.2416,52.2772,3.00895,0.509329
-75.2073,52.1915,3.09957,0.428545
-75.1719,52.1068,3.18723,0.359172
-75.1354,52.023,3.27211,0.34776
-75.0975,51.9404,3.35443,0.301212
-75.0583,51.8589,3.43437,0.254665
-75.0177,51.7786,3.51209,0.324575
-74.9755,51.6995,3.58777,0.324575
-74.932,51.6218,3.66156,0.335808
-74.8869,51.5452,3.73362,0.370763
-74.8405,51.4698,3.80409,0.370763
-74.7928,51.3955,3.8731,0.370763
-74.7438,51.3223,3.94077,0.405718
-74.6937,51.2499,4.00719,0.405718
-74.6426,51.1784,4.07246,0.405718
-74.5906,51.1076,4.13667,0.405718
-74.5378,51.0374,4.19987,0.486862
-74.4843,50.9678,4.26214,0.463141
-74.4302,50.8986,4.32352,0.451907
-74.3756,50.8298,4.38407,0.451907
-74.3206,50.7613,4.44381,0.451907
-74.2651,50.693,4.5028,0.486862
-74.2094,50.6249,4.56105,0.486862
-74.1534,50.5569,4.61861,0.486862
-74.0972,50.489,4.67549,0.486862
-74.0408,50.4212,4.73173,0.486862
-73.9843,50.3535,4.78734,0.486862
-73.9276,50.2858,4.84236,0.533051
-73.8708,50.2181,4.89679,0.533051
-73.814,50.1504,4.95067,0.533051
-73.757,50.0826,5.004,0.533051
-73.7,50.0149,5.05681,0.533051
-73.6429,49.9471,5.10911,0.533051
-73.5857,49.8793,5.16092,0.568006
-73.5285,49.8115,5.21226,0.568006
-73.4712,49.7436,5.26313,0.568006
-73.4139,49.6757,5.31356,0.568006
-73.3564,49.6078,5.36355,0.568006
-73.299,49.5398,5.41313,0.568006
-73.2414,49.4717,5.46229,0.614194
-73.1838,49.4036,5.51105,0.614194
-73.1261,49.3355,5.55943,0.625428
-73.0684,49.2673,5.60743,0.636661
-73.0106,49.1991,5.65507,0.649149
-72.9527,49.1308,5.70235,0.649149
-72.8948,49.0625,5.74929,0.695338
-72.8368,48.9942,5.79588,0.695338
-72.7787,48.9257,5.84215,0.695338
-72.7205,48.8573,5.88809,0.695338
-72.6623,48.7888,5.93373,0.695338
-72.604,48.7202,5.97905,0.730293
-72.5457,48.6516,6.02408,0.730293
-72.4872,48.5829,6.06882,0.730293
-72.4287,48.5142,6.11327,0.730293
-72.3701,48.4454,6.15744,0.730293
-72.3115,48.3766,6.20134,0.730293
-72.2528,48.3077,6.24497,0.776481
-72.194,48.2388,6.28834,0.776481
-72.1351,48.1698,6.33145,0.776481
-72.0762,48.1008,6.37432,0.776481
-72.0172,48.0317,6.41693,0.776481
-71.9581,47.9626,6.45931,0.811436
-71.8989,47.8934,6.50145,0.811436
-71.8397,47.8242,6.54335,0.811436
-71.7804,47.7549,6.58503,0.811436
-71.7211,47.6855,6.62649,0.811436
-71.6616,47.6161,6.66772,0.857625
-71.6021,47.5467,6.70874,0.857625
-71.5426,47.4772,6.74954,0.857625
-71.483,47.4077,6.79014,0.857625
-71.4233,47.3381,6.83053,0.857625
-71.3635,47.2684,6.87072,0.89258
-71.3037,47.1987,6.91071,0.89258
-71.2438,47.129,6.9505,0.89258
-71.1838,47.0592,6.9901,0.89258
-71.1238,46.9893,7,0.89258
-71.0638,46.9194,7,0.938769
-71.0036,46.8495,7,0.938769
-70.9435,46.7795,7,0.938769
-70.8832,46.7095,7,0.89258
-70.8229,46.6394,7,0.891326
-70.7626,46.5692,7,0.915047
-70.7021,46.4991,7,0.903814
-70.6417,46.4288,7,0.89258
-70.5812,46.3586,7,0.89258
-70.5206,46.2883,7,0.938769
-70.46,46.2179,7,0.938769
-70.3994,46.1475,7,0.938769
-70.3386,46.0771,7,0.938769
-70.2779,46.0066,7,0.938769
-70.2171,45.9361,7,0.973724
-70.1563,45.8655,7,0.973724
-70.0954,45.7949,7,0.973724
-70.0345,45.7243,7,0.973724
-69.9735,45.6536,7,0.973724
-69.9126,45.5829,7,1.01991
-69.8515,45.5121,7,1.01991
-69.7905,45.4413,7,1.01991
-69.7294,45.3705,7,1.01991
-69.6683,45.2997,7,1.05487
-69.6071,45.2288,7,1.01991
-69.546,45.1578,7,1.01991
-69.4848,45.0869,7,1.01991
-69.4235,45.0159,7,1.01991
-69.3623,44.9448,7,1.05487
-69.301,44.8738,7,1.05487
