# x, y, yaw_rad, speed_mps, dist_to_wall
-75.7539,52.8974,-1.48768,2,1.22839
-75.7457,52.7991,-1.48678,2.14296,1.19343
-75.7374,52.7009,-1.48579,2.27669,1.12352
-75.7291,52.6035,-1.48576,2.18978,1.05361
-75.721,52.5078,-1.48807,2.10021,1.01866
-75.7133,52.4151,-1.49492,2.0097,0.995834
-75.7065,52.3264,-1.51081,1.91919,0.984421
-75.7015,52.2419,-1.54248,1.82876,0.961597
-75.6991,52.1604,-1.59221,1.73731,0.950185
-75.7009,52.0805,-1.64657,1.64283,0.92736
-75.7069,52.0012,-1.67369,1.54298,0.92736
-75.715,51.9221,-1.63496,1.43621,0.938772
-75.7201,51.8438,-1.50371,1.32241,0.961597
-75.7149,51.7674,-1.29524,1.20103,0.973009
-75.6942,51.6939,-1.08296,1.20284,0.926461
-75.6567,51.6234,-0.935445,1.38775,0.937874
-75.6064,51.5551,-0.864879,1.56037,0.926281
-75.5491,51.4879,-0.851522,1.72181,0.915047
-75.4902,51.4207,-0.869607,1.87102,0.903814
-75.4329,51.3528,-0.897415,2.00837,0.891326
-75.3782,51.2842,-0.92198,2.13555,0.880092
-75.3255,51.2147,-0.938771,2.25461,0.903814
-75.2743,51.1447,-0.947939,2.36726,0.89258
-75.2237,51.0743,-0.950922,2.47477,0.89258
-75.1731,51.0035,-0.949185,2.57806,0.89258
-75.1222,50.9324,-0.944296,2.67783,0.938769
-75.0707,50.8612,-0.937827,2.77459,0.973724
-75.0183,50.7898,-0.930737,2.86872,0.973724
-74.965,50.7183,-0.923272,2.96049,0.97247
-74.9109,50.6467,-0.915602,3.05012,0.961236
-74.8558,50.5749,-0.908088,3.13783,0.984957
-74.7997,50.5031,-0.900864,3.22374,0.973724
-74.7428,50.4312,-0.893718,3.308,0.973724
-74.6849,50.3593,-0.886583,3.39071,0.973724
-74.6262,50.2872,-0.879698,3.47198,1.01991
-74.5665,50.2151,-0.873167,3.55192,1.01991
-74.506,50.143,-0.8668,3.63057,1.01991
-74.4447,50.0708,-0.860524,3.70801,1.01991
-74.3826,49.9985,-0.854546,3.78432,1.05487
-74.3197,49.9262,-0.848973,3.85953,1.05487
-74.256,49.8539,-0.843653,3.9337,1.05487
-74.1917,49.7816,-0.838506,4.00686,1.05487
-74.1266,49.7093,-0.833682,4.07906,1.05487
-74.0609,49.6369,-0.829267,4.15032,1.05487
-73.9946,49.5645,-0.825145,4.22067,1.05487
-73.9278,49.4921,-0.821257,4.29011,1.05487
-73.8606,49.4199,-0.817724,4.35854,1.05487
-73.7933,49.3482,-0.81462,4.42571,1.10106
-73.7267,49.2775,-0.811821,4.49107,1.10106
-73.6615,49.2088,-0.809189,4.55394,1.05487
-73.5983,49.1426,-0.806754,4.61382,1.05487
-73.5374,49.079,-0.804627,4.67071,1.05487
-73.4784,49.0176,-0.802787,4.72509,1.0661
-73.4206,48.9578,-0.80109,4.7776,1.07733
-73.3635,48.8989,-0.799464,4.82882,1.08857
-73.3068,48.8405,-0.797985,4.87915,1.0998
-73.2501,48.7824,-0.796736,4.92883,1.10106
-73.1933,48.7244,-0.795674,4.97798,1.10106
-73.1365,48.6664,-0.794685,5.02666,1.10106
-73.0796,48.6084,-0.793718,5.07491,1.10106
-73.0226,48.5504,-0.792825,5.12274,1.10106
-72.9655,48.4925,-0.792066,5.17017,1.10106
-72.9083,48.4345,-0.791426,5.21721,1.10106
-72.8511,48.3766,-0.790838,5.26385,1.10106
-72.7937,48.3186,-0.790271,5.31011,1.10106
-72.7363,48.2606,-0.789753,5.35599,1.10106
-72.6789,48.2027,-0.789319,5.40151,1.10106
-72.6214,48.1447,-0.788962,5.44667,1.10106
-72.5638,48.0868,-0.788646,5.49148,1.10106
-72.5062,48.0288,-0.78835,5.53593,1.10106
-72.4486,47.9708,-0.788087,5.58004,1.10106
-72.391,47.9129,-0.787873,5.62382,1.10106
-72.3333,47.8549,-0.787708,5.66727,1.10106
-72.2756,47.797,-0.787577,5.7104,1.10106
-72.2179,47.739,-0.787466,5.75321,1.10106
-72.1602,47.681,-0.787376,5.7957,1.10106
-72.1025,47.6231,-0.787313,5.83789,1.05487
-72.0447,47.5651,-0.787281,5.87979,1.05487
-71.987,47.5072,-0.787279,5.92138,1.05487
-71.9292,47.4492,-0.787298,5.96269,1.05487
-71.8715,47.3912,-0.787332,6.00371,1.05487
-71.8138,47.3333,-0.787377,6.04445,1.05487
-71.756,47.2753,-0.787443,6.08492,1.05487
-71.6983,47.2174,-0.787537,6.12511,1.05487
-71.6406,47.1594,-0.787656,6.16504,1.05487
-71.5829,47.1014,-0.787785,6.20471,1.05487
-71.5252,47.0435,-0.787914,6.24413,1.05487
-71.4675,46.9855,-0.788057,6.28329,1.05487
-71.4099,46.9276,-0.788229,6.3222,1.05487
-71.3522,46.8696,-0.788429,6.36087,1.05487
