# time_s,x_m,y_m,yaw_rad,speed_mps
0.0263215,-72.3978,48.9396,-0.993583,0
0.0509063,-72.3978,48.9396,-0.993583,0
0.07262,-72.3978,48.9396,-0.993583,0
0.0964733,-72.3978,48.9396,-0.993583,0
0.119879,-72.3978,48.9396,-0.993583,0
0.143771,-72.3978,48.9396,-0.993583,0
0.163852,-72.3978,48.9396,-0.993583,0
0.184591,-72.3978,48.9396,-0.993583,0
0.207424,-72.3978,48.9396,-0.993583,0
0.229198,-72.3978,48.9396,-0.993583,0
0.249689,-72.3978,48.9396,-0.993583,0
0.272068,-72.3978,48.9396,-0.993583,0
0.295517,-72.3978,48.9396,-0.993583,0
0.31756,-72.3978,48.9396,-0.993583,0
0.340427,-72.3978,48.9396,-0.993583,0
0.363801,-72.3978,48.9396,-0.993583,0
0.385123,-72.3978,48.9396,-0.993583,0
0.407316,-72.3978,48.9396,-0.993583,0
0.427431,-72.3978,48.9396,-0.993583,0
0.449339,-72.3978,48.9396,-0.993583,0
0.469612,-72.3978,48.9396,-0.993583,0
0.492001,-72.3978,48.9396,-0.993583,0
0.512499,-72.3978,48.9396,-0.993583,0
0.536326,-72.3978,48.9396,-0.993583,0
0.559267,-72.3978,48.9396,-0.993583,0
0.580449,-72.3978,48.9396,-0.993583,0
0.603358,-72.3978,48.9396,-0.993583,0
0.624451,-72.3978,48.9396,-0.993583,0
0.644613,-72.3978,48.9396,-0.993583,0
0.668803,-72.3978,48.9396,-0.993583,0
0.691345,-72.3978,48.9396,-0.993583,0
0.712862,-72.3978,48.9396,-0.993583,0
0.73521,-72.3978,48.9396,-0.993583,0
0.756008,-72.3978,48.9396,-0.993583,0
0.779698,-72.3978,48.9396,-0.993583,0
0.800912,-72.3978,48.9396,-0.993583,0
0.821207,-72.3978,48.9396,-0.993583,0
0.842661,-72.3978,48.9396,-0.993583,0
0.86472,-72.3978,48.9396,-0.993583,0
0.889578,-72.3978,48.9396,-0.993583,0
0.912591,-72.3978,48.9396,-0.993583,0
0.936058,-72.3978,48.9396,-0.993583,0
0.95638,-72.3978,48.9396,-0.993583,0
0.977486,-72.3978,48.9396,-0.993583,0
1.00022,-72.3978,48.9396,-0.993583,0
1.02114,-72.3978,48.9396,-0.993583,0
1.04361,-72.3978,48.9396,-0.993583,0
1.06927,-72.3978,48.9396,-0.993583,0
1.08977,-72.3978,48.9396,-0.993583,0
1.11126,-72.3978,48.9396,-0.993583,0
1.1367,-72.3978,48.9396,-0.993583,0
1.16063,-72.3978,48.9396,-0.993583,0
1.18464,-72.3978,48.9396,-0.993583,0
1.20508,-72.3978,48.9396,-0.993583,0
1.22839,-72.3978,48.9396,-0.993583,0
1.25131,-72.3978,48.9396,-0.993583,0
1.27422,-72.3978,48.9396,-0.993583,0
1.29927,-72.3978,48.9396,-0.993583,0
1.32167,-72.3978,48.9396,-0.993583,0
1.34252,-72.3978,48.9396,-0.993583,0
1.36295,-72.3978,48.9396,-0.993583,0
1.38471,-72.3978,48.9396,-0.993583,0
1.40858,-72.3978,48.9396,-0.993583,0
1.43014,-72.3978,48.9396,-0.993583,0
1.45316,-72.3978,48.9396,-0.993583,0
1.47572,-72.3978,48.9396,-0.993583,0
1.50832,-72.3978,48.9396,-0.993583,0
1.5367,-72.3978,48.9396,-0.993583,0
1.56152,-72.3978,48.9396,-0.993583,0
1.58504,-72.3978,48.9396,-0.993583,0
1.60564,-72.3978,48.9396,-0.993583,0
1.62577,-72.3978,48.9396,-0.993583,0
1.65007,-72.3978,48.9396,-0.993583,0
1.67134,-72.3978,48.9396,-0.993583,0
1.69241,-72.3978,48.9396,-0.993583,0
1.716,-72.3978,48.9396,-0.993583,0
1.73978,-72.3978,48.9396,-0.993583,0
1.76238,-72.3978,48.9396,-0.993583,0
1.78372,-72.3978,48.9396,-0.993583,0
1.80628,-72.3978,48.9396,-0.993583,0
1.82935,-72.3978,48.9396,-0.993583,0
1.85028,-72.3978,48.9396,-0.993583,0
1.87757,-72.3978,48.9396,-0.993583,0
1.90187,-72.3978,48.9396,-0.993583,0
1.92545,-72.3978,48.9396,-0.993583,0
1.94902,-72.3978,48.9396,-0.993583,0
1.97119,-72.3978,48.9396,-0.993583,0
1.99207,-72.3978,48.9396,-0.993583,0
2.01461,-72.3978,48.9396,-0.993583,0
2.03691,-72.3978,48.9396,-0.993583,0
2.05956,-72.3978,48.9396,-0.993583,0
2.08262,-72.3978,48.9396,-0.993583,0
2.10419,-72.3978,48.9396,-0.993583,0
2.12802,-72.3978,48.9396,-0.993583,0
2.15204,-72.3978,48.9396,-0.993583,0
2.17269,-72.3978,48.9396,-0.993583,0
2.19381,-72.3978,48.9396,-0.993583,0
2.21437,-72.3978,48.9396,-0.993583,0
2.23526,-72.3978,48.9396,-0.993583,0
2.25606,-72.3978,48.9396,-0.993583,0
2.27615,-72.3978,48.9396,-0.993583,0
2.29957,-72.3978,48.9396,-0.993583,0
2.32532,-72.3978,48.9396,-0.993583,0
2.34955,-72.3978,48.9396,-0.993583,0
2.37163,-72.3978,48.9396,-0.993583,0
2.39409,-72.3978,48.9396,-0.993583,0
2.41609,-72.3978,48.9396,-0.993583,0
2.43976,-72.3978,48.9396,-0.993583,0
2.46751,-72.3978,48.9396,-0.993583,0
2.4879,-72.3978,48.9396,-0.993583,0
2.51053,-72.3978,48.9396,-0.993583,0
2.53101,-72.3978,48.9396,-0.993583,0
2.55542,-72.3978,48.9396,-0.993583,0
2.58024,-72.3978,48.9396,-0.993583,0
2.60316,-72.3978,48.9396,-0.993583,0
2.62574,-72.3978,48.9396,-0.993583,0
2.64865,-72.3978,48.9396,-0.993583,0
2.66908,-72.3978,48.9396,-0.993583,0
2.69308,-72.3978,48.9396,-0.993583,0
2.71736,-72.3978,48.9396,-0.993583,0
2.84018,-72.3978,48.9396,-0.993583,0
2.86585,-72.3978,48.9396,-0.993583,0
2.8876,-72.3978,48.9396,-0.993583,0
2.91095,-72.3978,48.9396,-0.993583,0
2.93104,-72.3978,48.9396,-0.993583,0
2.95192,-72.3978,48.9396,-0.993583,0
2.97423,-72.3978,48.9396,-0.993583,0
2.99429,-72.3978,48.9396,-0.993583,0
3.01543,-72.3978,48.9396,-0.993583,0
3.03778,-72.3978,48.9396,-0.993583,0
3.06129,-72.3976,48.9394,-0.993583,0.0283039
3.08774,-72.3971,48.9386,-0.993583,0.0720957
3.1097,-72.3954,48.936,-0.993583,0.13028
3.1304,-72.3938,48.9335,-0.993583,0.164604
3.1507,-72.3919,48.9305,-0.993583,0.195742
3.17363,-72.3896,48.927,-0.993583,0.223989
3.19688,-72.387,48.923,-0.993583,0.249614
3.22097,-72.3826,48.9163,-0.993583,0.28366
3.24484,-72.3794,48.9114,-0.993583,0.303745
3.2704,-72.3742,48.9034,-0.993583,0.33043
3.29148,-72.3705,48.8977,-0.993583,0.346173
3.31389,-72.3666,48.8918,-0.993583,0.360454
3.33923,-72.3606,48.8825,-0.993583,0.379429
3.36375,-72.3564,48.8761,-0.993583,0.390623
3.38663,-72.3521,48.8694,-0.993583,0.400777
3.41374,-72.3454,48.8592,-0.993583,0.414269
3.43412,-72.3408,48.8522,-0.993583,0.422228
3.459,-72.3338,48.8414,-0.993583,0.432803
3.47925,-72.3291,48.8341,-0.993583,0.439042
3.50804,-72.3242,48.8267,-0.993583,0.444701
3.53155,-72.3163,48.8146,-0.993583,0.520207
3.55338,-72.3104,48.8055,-0.993583,0.564751
3.57989,-72.3007,48.7905,-0.993583,0.623934
3.6013,-72.2937,48.7797,-0.993583,0.658847
3.62344,-72.2863,48.7684,-0.993583,0.69052
3.64544,-72.2786,48.7566,-0.993583,0.719251
3.66997,-72.2665,48.738,-0.993583,0.757426
3.69233,-72.2581,48.7252,-0.993583,0.779946
3.71258,-72.2495,48.7119,-0.993583,0.800376
3.73605,-72.2407,48.6983,-0.993583,0.818909
3.76564,-72.227,48.6774,-0.993583,0.843533
3.79098,-72.2131,48.656,-0.993583,0.864808
3.81441,-72.2036,48.6414,-0.993583,0.877359
3.83647,-72.1939,48.6266,-0.993583,0.888745
3.86308,-72.1792,48.604,-0.993583,0.903873
3.88524,-72.1693,48.5888,-0.993583,0.912797
3.90899,-72.1543,48.5657,-0.993583,0.924655
3.93228,-72.1442,48.5501,-0.993583,0.93165
3.95601,-72.134,48.5345,-0.993583,0.937995
3.98095,-72.1185,48.5108,-0.993583,0.946426
4.00206,-72.1082,48.4949,-0.993583,0.9514
4.02467,-72.0978,48.4789,-0.993583,0.955912
4.04678,-72.0873,48.4628,-0.993583,0.960005
4.07026,-72.0715,48.4386,-0.993583,0.965443
4.09195,-72.061,48.4224,-0.993583,0.968652
4.11313,-72.0504,48.4062,-0.993583,0.971562
4.13548,-72.0398,48.3899,-0.993583,0.974202
4.16104,-72.0238,48.3653,-0.993583,0.97771
4.18355,-72.0131,48.3489,-0.993583,0.979779
4.21044,-71.9971,48.3243,-0.993583,0.982529
4.23175,-71.9863,48.3078,-0.993583,0.984151
4.25378,-71.9756,48.2913,-0.993583,0.985622
4.27659,-71.9648,48.2747,-0.993583,0.986957
4.29918,-71.9486,48.2499,-0.993583,0.988731
4.32273,-71.9378,48.2333,-0.993583,0.989777
4.34517,-71.927,48.2167,-0.993583,0.990726
4.37201,-71.9108,48.1918,-0.993583,0.991987
4.39442,-71.9,48.1752,-0.993583,0.992731
4.41599,-71.8891,48.1585,-0.993583,0.993406
4.43635,-71.8783,48.1419,-0.993583,0.994018
4.46376,-71.862,48.1169,-0.993583,0.994831
4.48498,-71.8512,48.1002,-0.993583,0.995311
4.50567,-71.8403,48.0835,-0.993583,0.995747
4.53068,-71.824,48.0585,-0.993583,0.996325
4.55164,-71.8131,48.0418,-0.993583,0.996666
4.57243,-71.8022,48.0251,-0.993583,0.996976
4.59496,-71.7913,48.0084,-0.993583,0.997256
4.62036,-71.775,47.9833,-0.993583,0.997629
4.64446,-71.7641,47.9666,-0.993583,0.99785
4.6694,-71.7478,47.9415,-0.993583,0.998142
4.69141,-71.7369,47.9247,-0.993583,0.998314
4.71264,-71.726,47.908,-0.993583,0.998471
4.73654,-71.7151,47.8913,-0.993583,0.998613
4.7679,-71.6988,47.8662,-0.993583,0.998801
4.79145,-71.6824,47.8411,-0.993583,0.998964
4.81312,-71.6715,47.8243,-0.993583,0.999061
4.83361,-71.6606,47.8076,-0.993583,0.999148
4.85432,-71.6497,47.7908,-0.993583,0.999227
4.87436,-71.6388,47.7741,-0.993583,0.999299
4.89663,-71.6279,47.7573,-0.993583,0.999364
4.91941,-71.617,47.7406,-0.993583,0.999423
4.94141,-71.6006,47.7155,-0.993583,0.999501
4.96342,-71.5897,47.6987,-0.993583,0.999548
4.9841,-71.5788,47.682,-0.993583,0.99959
5.007,-71.5679,47.6652,-0.993583,0.999628
5.03203,-71.5514,47.6401,-0.992737,0.999678
5.05283,-71.5401,47.6236,-0.988747,0.999708
5.07662,-71.5283,47.6075,-0.981281,0.999735
5.09954,-71.51,47.5838,-0.968645,0.999771
5.12244,-71.4976,47.5681,-0.96027,0.999793
5.14658,-71.4851,47.5524,-0.953274,0.999812
5.17168,-71.4664,47.529,-0.943224,0.999837
5.19538,-71.4538,47.5135,-0.936492,0.999852
5.22119,-71.4346,47.4904,-0.926306,0.999873
5.24478,-71.4219,47.475,-0.920778,0.999884
5.26923,-71.4027,47.4519,-0.913344,0.9999
5.2949,-71.3898,47.4366,-0.908527,0.999909
5.32009,-71.3705,47.4137,-0.901411,0.999922
5.34046,-71.3574,47.3985,-0.896605,0.999929
5.36434,-71.3444,47.3834,-0.8918,0.999936
5.38519,-71.3312,47.3684,-0.886996,0.999942
5.41344,-71.3113,47.3459,-0.879694,0.999949
5.43617,-71.2981,47.3309,-0.876087,0.999954
5.46354,-71.2782,47.3084,-0.871537,0.99996
5.48539,-71.265,47.2934,-0.868641,0.999964
5.50689,-71.2517,47.2785,-0.865754,0.999967
5.53085,-71.2317,47.2561,-0.861523,0.999972
5.55478,-71.2184,47.2412,-0.85864,0.999974
5.57503,-71.2049,47.2264,-0.855757,0.999977
5.59564,-71.1915,47.2116,-0.852874,0.999979
5.62169,-71.1712,47.1895,-0.848455,0.999982
5.64506,-71.1577,47.1747,-0.84677,0.999984
5.66506,-71.1443,47.1599,-0.845694,0.999985
5.68623,-71.1309,47.145,-0.844709,0.999986
5.71168,-71.1101,47.122,-0.843146,1.06798
5.73552,-71.0955,47.1058,-0.842704,1.10808
5.75642,-71.0805,47.089,-0.842598,1.14447
5.78449,-71.0571,47.0629,-0.842557,1.19281
5.81023,-71.0329,47.0357,-0.842548,1.23458
5.83316,-71.0163,47.0171,-0.842546,1.25922
5.85535,-70.9994,46.9981,-0.842545,1.28158
5.88136,-70.9728,46.9683,-0.842545,1.37926
5.90542,-70.954,46.9473,-0.842544,1.43689
5.93237,-70.9246,46.9142,-0.842544,1.51346
5.95672,-70.9041,46.8913,-0.842544,1.55863
5.98077,-70.8724,46.8557,-0.842544,1.61865
6.00504,-70.8506,46.8313,-0.842544,1.65405
6.03185,-70.8171,46.7937,-0.842544,1.70109
6.05531,-70.7943,46.7681,-0.842544,1.72884
6.08068,-70.7594,46.729,-0.842544,1.76571
6.10129,-70.7357,46.7025,-0.842544,1.78746
6.12334,-70.7118,46.6756,-0.842544,1.80719
6.144,-70.6876,46.6485,-0.842544,1.82509
6.16505,-70.6632,46.6212,-0.842544,1.84133
6.18589,-70.6386,46.5936,-0.842544,1.85606
6.21035,-70.6013,46.5518,-0.842544,1.87563
6.23393,-70.5763,46.5237,-0.842544,1.88718
6.25537,-70.5511,46.4954,-0.842544,1.89765
6.28386,-70.5131,46.4528,-0.842544,1.91157
6.30657,-70.4876,46.4242,-0.842544,1.91978
6.32691,-70.462,46.3955,-0.842544,1.92723
6.35008,-70.4234,46.3522,-0.842544,1.93712
6.37222,-70.3976,46.3233,-0.842544,1.94296
6.39499,-70.3717,46.2942,-0.842544,1.94826
6.41593,-70.3457,46.2651,-0.842544,1.95306
6.43616,-70.3197,46.2359,-0.842544,1.95742
6.46181,-70.2805,46.192,-0.842544,1.96321
6.48631,-70.2544,46.1627,-0.842544,1.96662
6.51397,-70.2151,46.1186,-0.842544,1.97116
6.53954,-70.1757,46.0744,-0.842544,1.97508
6.56102,-70.1494,46.0449,-0.842544,1.9774
6.58427,-70.123,46.0154,-0.842544,1.97949
6.60571,-70.0967,45.9858,-0.842544,1.9814
6.63055,-70.0571,45.9414,-0.842544,1.98393
6.65245,-70.0307,45.9118,-0.842544,1.98542
6.67302,-70.0042,45.8822,-0.842544,1.98677
6.69441,-69.9778,45.8525,-0.842544,1.988
6.71642,-69.9513,45.8228,-0.842544,1.98912
6.74122,-69.9116,45.7783,-0.842544,1.9906
6.76421,-69.8851,45.7486,-0.842544,1.99147
6.78836,-69.8453,45.704,-0.842544,1.99263
6.80978,-69.8187,45.6742,-0.842544,1.99331
6.83291,-69.7922,45.6444,-0.842544,1.99393
6.85604,-69.7657,45.6147,-0.842544,1.9945
6.87934,-69.7258,45.57,-0.842544,1.99525
6.90232,-69.6993,45.5402,-0.842544,1.99569
6.92528,-69.6727,45.5104,-0.842544,1.99609
6.94961,-69.6321,45.465,-0.842544,2.06461
6.97106,-69.6044,45.4338,-0.842544,2.10503
6.99397,-69.5761,45.4021,-0.842544,2.1417
7.0285,-69.5329,45.3536,-0.842544,2.19042
7.0488,-69.4887,45.3041,-0.842544,2.23251
7.0719,-69.4588,45.2706,-0.842544,2.25735
7.09525,-69.4286,45.2367,-0.842544,2.27987
7.12143,-69.3821,45.1846,-0.842544,2.37779
7.14575,-69.3501,45.1486,-0.842544,2.43556
7.1691,-69.3006,45.0932,-0.842544,2.51231
7.19146,-69.2669,45.0554,-0.842544,2.55758
7.21327,-69.2326,45.0169,-0.842544,2.59866
7.2333,-69.1977,44.9778,-0.842544,2.63592
7.25388,-69.1624,44.9382,-0.842544,2.66972
7.27485,-69.1267,44.8981,-0.842544,2.70038
7.29585,-69.0902,44.8573,-0.842544,2.77462
7.31634,-69.0528,44.8153,-0.842544,2.84196
7.33652,-69.0146,44.7725,-0.842544,2.90305
7.36115,-68.9558,44.7065,-0.842544,2.98422
