map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,duration_s,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d,fre_unsafe_ratio,fre_track_rms,fgm_ratio,frenet_ratio,fgm_sc,fre_sc,S_progress,Score_FGM,Score_FRENET,success_count
playground,1.37,1.91,1.19,1.78,2.09,0.44,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765064530,GOAL,13.13,Mux_playground_WS1.37_WT1.91_WC1.19_WCL1.78_WD2.09_DM0.44_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765064530_GOAL_dur_13.13s.csv,13.13,0.0150563,0.3282894736842105,0.4512882193453136,0.00207883,0.1567584480600751,1.7492727094587128,0.2953714981729598,0.7046285018270402,0.30141539395653777,0.23723723010892978,0.37103174603174593,32.23002995791002,27.737558488577463,1
playground,2.9,1.6,0.74,1.29,1.42,0.41,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765102352,GOAL,12.29,Mux_playground_WS2.90_WT1.60_WC0.74_WCL1.29_WD1.42_DM0.41_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765102352_GOAL_dur_12.29s.csv,12.29,0.00319039,0.47495219885277246,0.4883666091023481,0.012054,0.2023767913317022,1.4764987096082016,0.29157175398633256,0.7084282460136674,0.24681457335911935,0.25696086011411934,0.537698412698413,33.407972516090744,34.11821258894074,1
playground,1.44,1.95,1.27,1.93,2.26,0.46,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765080462,GOAL,14.05,Mux_playground_WS1.44_WT1.95_WC1.27_WCL1.93_WD2.26_DM0.46_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765080462_GOAL_dur_14.05s.csv,14.05,0.00945767,0.4287323943661972,0.4505132155907341,0.0252356,0.13520172466892516,1.7131800161775996,0.12350597609561753,0.8764940239043825,0.26892421576363973,0.27314656107244784,0.18849206349206338,24.47945700821668,24.77502117983325,1
playground,2.71,1.55,0.9,1.47,1.82,0.45,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765100752,GOAL,13.05,Mux_playground_WS2.71_WT1.55_WC0.90_WCL1.47_WD1.82_DM0.45_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765100752_GOAL_dur_13.05s.csv,13.05,0.00333679,0.3330843913368185,0.5066128929250394,0.025954,0.11888341543513957,1.7699702001067965,0.140625,0.859375,0.2821672407330296,0.27414833602333577,0.3869047619047618,31.358849708454926,30.797526378776357,1
playground,1.74,1.59,0.97,1.31,0.52,0.46,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765099219,GOAL,12.12,Mux_playground_WS1.74_WT1.59_WC0.97_WCL1.31_WD0.52_DM0.46_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765099219_GOAL_dur_12.12s.csv,12.12,0.00610786,0.47646813827571843,0.4989512748699108,0.0257314,0.12529234881389908,1.3602852679643982,0.4226327944572748,0.5773672055427251,0.24916967680982166,0.3014964140218261,0.5714285714285717,34.58473451954467,38.24760612438497,1
playground,1.0608,2.3754,0.8409,1.7021,1.6963,0.2147,Opp_bumper_v_2.csv,MUX_OBSTACLE,1765059365,GOAL,14.49,Mux_playground_WS1.0608_WT2.3754_WC0.8409_WCL1.7021_WD1.6963_DM0.2147_Opp_bumper_v_2.csv_MUX_OBSTACLE_1765059365_GOAL_dur_14.49s.csv,14.49,0.00945603,0.32839407288746497,0.40740411463545106,0.00130357,0.14976382328424562,1.6478747917820946,0.27932652497929894,0.7206734750207011,0.2978027519264053,0.24534824431390154,0.10119047619047616,23.881906920562656,20.21009138768739,1
playground,1.182,2.5179,0.7391,1.2932,1.4873,0.1875,Opp_bumper_v_3.csv,MUX_OBSTACLE,1765061427,GOAL,12.97,Mux_playground_WS1.182_WT2.5179_WC0.7391_WCL1.2932_WD1.4873_DM0.1875_Opp_bumper_v_3.csv_MUX_OBSTACLE_1765061427_GOAL_dur_12.97s.csv,12.97,0.0181402,0.1622364802933089,0.3729213853471532,0.00146844,0.12300531914893617,1.3993893208365276,0.3660656793303284,0.6339343206696716,0.3534130461140668,0.27017580873052155,0.40277777777777773,36.822246561318,30.99563994446984,1
playground,2.44,1.41,0.78,1.18,1.28,0.35,Opp_bumper_v_3.csv,MUX_OBSTACLE,1765098493,GOAL,12.65,Mux_playground_WS2.44_WT1.41_WC0.78_WCL1.18_WD1.28_DM0.35_Opp_bumper_v_3.csv_MUX_OBSTACLE_1765098493_GOAL_dur_12.65s.csv,12.65,0.00212536,0.45648854961832064,0.4856212156940493,0.0113815,0.14868336544637123,1.4479856746534758,0.311314791403287,0.688685208596713,0.250480432405714,0.27199738640997057,0.4662698412698413,31.521725506495212,33.027912286793175,1
playground,2.61,1.6,0.73,1.11,1.12,0.32,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765073523,GOAL,12.03,Mux_playground_WS2.61_WT1.60_WC0.73_WCL1.11_WD1.12_DM0.32_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765073523_GOAL_dur_12.03s.csv,12.03,0.00198958,0.6015748031496063,0.4548558919790175,0.0154504,0.14910745537276865,1.5643087801307123,0.2935505319148936,0.7064494680851063,0.21520712576302858,0.2684622214662372,0.5892857142857145,32.74307023198343,36.470926931208034,1
playground,1.52,2.11,1.46,2.14,2.43,0.5,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765074760,GOAL,13.86,Mux_playground_WS1.52_WT2.11_WC1.46_WCL2.14_WD2.43_DM0.50_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765074760_GOAL_dur_13.86s.csv,13.86,0.00155192,0.4139650872817955,0.467203347370238,0.00522218,0.13432835820895522,1.7174304290786908,0.1457010963646855,0.8542989036353145,0.2620424710296642,0.24905143609779076,0.22619047619047633,25.128687257790784,24.21931481255964,1
