ws,wt,wc,wcl,wd,dm,Score_FGM_mean,duration_s_mean,success_count_sum,fgm_min_d_mean,fgm_ratio_mean
1.75,1.6,0.98,1.32,0.53,0.47,38.08043971089821,11.725,8,0.0036316375,0.36738709248360124
1.8,1.65,1.02,1.35,0.55,0.49,36.05070075022755,11.8775,8,0.0027530625000000003,0.31892977766301067
1.55,1.4,0.86,1.13,0.44,0.4,35.01442686296612,12.30375,8,0.00301189625,0.3349626880410765
1.68,1.51,0.94,1.26,0.5,0.44,34.950151648927935,12.02125,8,0.00196987625,0.32341869033088216
1.66,1.48,0.92,1.22,0.49,0.43,34.810771256990805,12.045,8,0.00338263625,0.33051882036788033
1.71,1.55,0.93,1.28,0.49,0.45,34.7035129703299,12.307500000000001,8,0.00216308625,0.33735641814999406
1.65,1.47,0.9,1.2,0.47,0.42,34.497594732060215,12.0875,8,0.00257817375,0.33227263012222513
1.69,1.53,0.94,1.26,0.5,0.44,34.201812308198235,12.2525,8,0.001995645,0.32258449751113055
1.63,1.46,0.9,1.19,0.47,0.42,34.20111803904483,12.02625,8,0.0023521125,0.3425303145467501
1.76,1.61,0.99,1.34,0.53,0.47,34.158884301693824,12.1075,8,0.0023959475,0.3111994299098759
1.72,1.57,0.96,1.29,0.51,0.45,33.99380221474349,12.1875,8,0.00242745875,0.31932780447790676
2.91,1.32,0.66,1.12,1.01,0.3,33.87682022372232,12.38125,8,0.0029474525,0.2883023025256546
2.64,1.57,0.69,1.09,1.08,0.3,33.60204153542823,12.49375,8,0.00223984875,0.28551955192975564
2.9,1.6,0.74,1.29,1.42,0.41,33.31978668018316,12.49375,8,0.00298809875,0.2844943208660527
1.61,1.49,0.91,1.21,0.48,0.43,33.19842173147322,12.48375,8,0.00331114375,0.3159146776355687
2.47,1.47,0.83,1.26,1.34,0.37,33.056147668815086,12.58,8,0.0019078699999999999,0.24717174846530388
2.49,1.35,0.64,1.18,1.17,0.33,32.89052623696086,12.415000000000001,8,0.0032786,0.26794930268738487
2.39,1.5,0.82,1.26,1.34,0.37,32.74708549422245,12.6775,8,0.0021157150000000002,0.26538519532545396
2.17,1.69,0.94,1.24,1.15,0.35,32.68631166023425,12.63875,8,0.0026906775,0.28764307296652536
2.88,1.62,0.76,1.3,1.44,0.42,32.63503380974992,12.58375,8,0.003575385,0.28753727872489687
2.67,1.66,0.97,1.52,1.88,0.46,31.579817683454134,12.985,8,0.0028871025,0.2687946605564938
1.88,1.74,1.03,1.33,1.53,0.42,31.50045796989487,12.77875,8,0.00249618,0.251953761078663
2.62,1.59,0.71,1.12,1.09,0.31,31.116421482693738,12.74625,8,0.00200604875,0.28227580347010883
2.7,1.27,0.69,1.09,1.12,0.31,30.96532756746309,12.5625,8,0.00200426125,0.2803749585468841
2.58,1.29,0.73,1.22,1.41,0.37,30.819284479233566,12.9475,8,0.00276531625,0.2113293184636323
0.83,2.43,1.67,2.57,2.79,0.56,30.407547189168234,13.303749999999999,8,0.00405511625,0.3034029820273019
2.92,1.42,1.04,1.58,1.77,0.47,30.400044071534005,13.0475,8,0.00307687875,0.20797492978171767
1.37,1.98,1.12,1.87,2.21,0.45,30.273928390667272,13.235,8,0.0026226,0.27752890918806444
1.41,2.18,1.44,2.2,2.49,0.53,30.21416709464369,13.27375,8,0.0029390600000000003,0.2774237187979184
0.92,1.99,1.4,2.22,2.49,0.47,30.06230344684283,13.23625,8,0.0020523375,0.2622771948496482
0.98,2.48,1.56,2.4,2.62,0.52,30.043032899161435,13.30375,8,0.0038895575,0.30468751695740226
1.41,1.89,1.23,1.88,2.2,0.45,30.032199527401666,13.18875,8,0.0035694775,0.2805196562956202
2.98,1.08,0.79,1.2,1.41,0.4,29.93589516350084,13.0125,8,0.00283939125,0.23436390361806972
0.83,2.59,1.74,2.67,2.86,0.59,29.843236689011555,13.43875,8,0.0037430287500000003,0.28731957008111775
2.77,1.18,0.92,1.54,1.82,0.45,29.631498971153583,13.145,8,0.0029233325,0.1852798472882858
1.12,2.38,1.66,2.44,2.8,0.54,29.517371444645747,13.525,8,0.00428713,0.28983060215175704
2.71,1.55,0.9,1.47,1.82,0.45,29.47089972014896,13.275,8,0.00231644875,0.19941766432158145
0.93,2.02,1.36,2.2,2.46,0.48,29.403131514709884,13.64875,8,0.0028291699999999998,0.29490393868949116
1.59,2.56,1.96,2.79,3.12,0.59,29.34002735801534,13.35125,8,0.00200036125,0.29166621415810595
0.8,2.4,1.65,2.56,2.79,0.57,29.22953761266836,13.56125,8,0.00446177,0.2708523875185266
1.41,2.66,1.7,2.3,2.59,0.51,29.029121786283003,13.47125,8,0.00420532,0.31222887054836235
