map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,finish_reason,duration_s,total_dist_m,collision_flag,max_speed,max_lat_acc,global_min_d,global_unsafe_ratio,global_track_rms,global_lat_acc_rms,frenet_usage_pct,fgm_usage_pct,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d_mean,fre_min_d_min,fre_track_rms_calc,ts_last_t,is_success
hairpin_combo,0.8228,1.0491,3.0837,1.9735,1.783,0.1975,Opp_bumper_slow_1.csv,MUX_RACING,1765044731,GOAL,62.84,Mux_hairpin_combo_WS0.8228_WT1.0491_WC3.0837_WCL1.9735_WD1.783_DM0.1975_Opp_bumper_slow_1.csv_MUX_RACING_1765044731_GOAL_dur_62.84s.csv,GOAL REACHED,62.84,255.57,False,4.7,20.95,0.0,0.15,0.33,3.16,77.02,22.98,0.0,0.43,0.4,0.8263121021830682,0.0,0.3732843317887577,62.84,True
hairpin_combo,1.35,1.84,1.16,1.83,2.14,0.45,Opp_bumper_slow_1.csv,MUX_RACING,1765054134,GOAL,60.77,Mux_hairpin_combo_WS1.35_WT1.84_WC1.16_WCL1.83_WD2.14_DM0.45_Opp_bumper_slow_1.csv_MUX_RACING_1765054134_GOAL_dur_60.77s.csv,GOAL REACHED,60.77,254.7,False,4.83,22.28,0.0,0.14,0.36,3.43,80.2,19.8,0.0,0.35,0.39,0.8618342795116494,0.0,0.34289903489943435,60.7717,True
Spielberg,2.95,1.34,0.89,1.42,1.67,0.43,Opp_bumper_slow_1.csv,MUX_RACING,1765046202,GOAL,74.88,Mux_Spielberg_WS2.95_WT1.34_WC0.89_WCL1.42_WD1.67_DM0.43_Opp_bumper_slow_1.csv_MUX_RACING_1765046202_GOAL_dur_74.88s.csv,GOAL REACHED,74.88,336.57,False,4.96,9.37,0.0,0.06,0.2,1.8,95.29,4.71,0.0,0.64,0.26,0.6988241945943059,0.175268,0.21534247374428728,74.88,True
hairpin_combo,0.65,1.79,1.21,2.41,2.8,0.56,Opp_bumper_slow_1.csv,MUX_RACING,1765050699,CRASH,85.54,Mux_hairpin_combo_WS0.65_WT1.79_WC1.21_WCL2.41_WD2.80_DM0.56_Opp_bumper_slow_1.csv_MUX_RACING_1765050699_CRASH_dur_85.54s.csv,COLLISION DETECTED,85.54,366.09,True,5.01,21.01,0.0,0.13,0.37,3.81,86.21,13.79,0.0,0.16,0.29,0.8481418102496961,0.0,0.41254416550816425,85.5399,False
Spielberg,1.91,2.1,1.36,2.13,2.47,0.52,Opp_bumper_slow_1.csv,MUX_RACING,1765037921,GOAL,77.48,Mux_Spielberg_WS1.91_WT2.10_WC1.36_WCL2.13_WD2.47_DM0.52_Opp_bumper_slow_1.csv_MUX_RACING_1765037921_GOAL_dur_77.48s.csv,GOAL REACHED,77.48,336.38,False,4.96,9.08,0.0,0.19,0.24,1.73,93.31,6.69,0.0,0.47,0.23,0.7015563585204687,0.0257186,0.23408837314388317,77.4799,True
Spielberg,0.83,2.11,1.43,2.29,2.6,0.53,Opp_bumper_slow_1.csv,MUX_RACING,1765046888,GOAL,79.06,Mux_Spielberg_WS0.83_WT2.11_WC1.43_WCL2.29_WD2.60_DM0.53_Opp_bumper_slow_1.csv_MUX_RACING_1765046888_GOAL_dur_79.06s.csv,GOAL REACHED,79.06,336.71,False,4.7,9.08,0.0,0.2,0.24,1.72,91.43,8.57,0.0,0.54,0.25,0.7154188663867247,0.181117,0.23496166513412897,79.06,True
hairpin_combo,1.3,2.04,1.28,2.04,2.36,0.48,Opp_bumper_slow_1.csv,MUX_RACING,1765060667,CRASH,45.15,Mux_hairpin_combo_WS1.30_WT2.04_WC1.28_WCL2.04_WD2.36_DM0.48_Opp_bumper_slow_1.csv_MUX_RACING_1765060667_CRASH_dur_45.15s.csv,COLLISION DETECTED,45.15,190.26,True,5.04,19.41,0.0,0.14,0.28,4.07,85.75,14.25,0.0,0.4,0.39,0.8091431404145996,0.160855,0.2762972617270313,45.1484,False
hairpin_combo,2.9497,1.6935,0.4106,0.7772,0.5144,0.1512,Opp_bumper_slow_1.csv,MUX_RACING,1765042306,CRASH,47.24,Mux_hairpin_combo_WS2.9497_WT1.6935_WC0.4106_WCL0.7772_WD0.5144_DM0.1512_Opp_bumper_slow_1.csv_MUX_RACING_1765042306_CRASH_dur_47.24s.csv,COLLISION DETECTED,47.24,185.15,True,5.15,22.81,0.0,0.44,0.49,3.86,94.0,6.0,0.0,0.81,0.49,0.6240800619591906,0.0,0.49953023188469925,47.2398,False
hairpin_combo,2.13,1.45,0.91,1.47,1.84,0.44,Opp_bumper_slow_1.csv,MUX_RACING,1765050440,GOAL,59.75,Mux_hairpin_combo_WS2.13_WT1.45_WC0.91_WCL1.47_WD1.84_DM0.44_Opp_bumper_slow_1.csv_MUX_RACING_1765050440_GOAL_dur_59.75s.csv,GOAL REACHED,59.75,255.46,False,4.97,15.85,0.0,0.13,0.36,3.45,83.46,16.54,0.0,0.3,0.34,0.8752272195100075,0.0,0.3596156618437276,59.7516,True
hairpin_combo,1.38,2.4,1.64,2.5,2.78,0.57,Opp_bumper_slow_1.csv,MUX_RACING,1765058828,GOAL,58.95,Mux_hairpin_combo_WS1.38_WT2.40_WC1.64_WCL2.50_WD2.78_DM0.57_Opp_bumper_slow_1.csv_MUX_RACING_1765058828_GOAL_dur_58.95s.csv,GOAL REACHED,58.95,253.29,False,4.99,17.69,0.0,0.11,0.37,3.76,85.61,14.39,0.0,0.24,0.28,0.8477198434086438,0.0,0.36817669205721626,58.9516,True
